original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top6_match,top6_score,top7_match,top7_score,top8_match,top8_score,top9_match,top9_score,top10_match,top10_score,top11_match,top11_score,top12_match,top12_score,top13_match,top13_score,top14_match,top14_score,top15_match,top15_score,top16_match,top16_score,top17_match,top17_score,top18_match,top18_score,top19_match,top19_score,top20_match,top20_score,updated_value,top1_accuracy,top3_accuracy,top5_accuracy
FIBROSARCOMA,Fibrosarcoma,1,2,Fibrosarcoma,1.0000,Conventional Fibrosarcoma,0.9296,Advanced Fibrosarcoma,0.8842,Localized Fibrosarcoma,0.8800,Soft Tissue Fibrosarcoma,0.8708,Bone Fibrosarcoma,0.8623,Adult Fibrosarcoma,0.8598,Poorly Differentiated Fibrosarcoma,0.8438,Infantile Fibrosarcoma,0.8346,Kidney Fibrosarcoma,0.8341,Fascial Fibrosarcoma,0.8295,Well Differentiated Fibrosarcoma,0.8284,Metastatic Fibrosarcoma,0.8272,Cardiac Fibrosarcoma,0.8222,Unresectable Fibrosarcoma,0.8214,Locally Advanced Fibrosarcoma,0.8209,Childhood Fibrosarcoma,0.8176,Breast Fibrosarcoma,0.8120,Ovarian Fibrosarcoma,0.7967,Liver Fibrosarcoma,0.7951,FIBROSARCOMA,True,True,True
FIBROSARCOMA_CANCER,Fibrosarcoma,1,2,Fibrosarcoma,0.9320,Conventional Fibrosarcoma,0.8758,Advanced Fibrosarcoma,0.8186,Soft Tissue Fibrosarcoma,0.8090,Bone Fibrosarcoma,0.7938,Localized Fibrosarcoma,0.7875,Metastatic Fibrosarcoma,0.7836,Cardiac Fibrosarcoma,0.7817,Adult Fibrosarcoma,0.7811,Unresectable Fibrosarcoma,0.7792,Kidney Fibrosarcoma,0.7786,Infantile Fibrosarcoma,0.7669,Childhood Fibrosarcoma,0.7668,Fascial Fibrosarcoma,0.7658,Poorly Differentiated Fibrosarcoma,0.7589,Refractory Fibrosarcoma,0.7563,Fibrosarcoma NCI Grade 2,0.7549,Recurrent Fibrosarcoma,0.7485,Locally Advanced Fibrosarcoma,0.7442,Breast Fibrosarcoma,0.7435,FIBROSARCOMA_CANCER,True,True,True
FL,Follicular Lymphoma,1,2,Follicular Lymphoma,1.0000,Classic Follicular Lymphoma,0.9240,Splenic Follicular Lymphoma,0.8357,Advanced Follicular Lymphoma,0.8334,Cutaneous Follicular Lymphoma,0.8270,Thyroid Gland Follicular Lymphoma,0.8246,Pediatric-Type Follicular Lymphoma,0.8209,Intestinal Follicular Lymphoma,0.8170,Lacrimal Gland Follicular Lymphoma,0.8014,Testicular Follicular Lymphoma,0.7942,Grade 1 Follicular Lymphoma,0.7897,Conjunctival Follicular Lymphoma,0.7892,Breast Follicular Lymphoma,0.7866,Lung Follicular Lymphoma,0.7783,Prostate Follicular Lymphoma,0.7763,Salivary Gland Follicular Lymphoma,0.7733,Grade 3 Follicular Lymphoma,0.7730,Duodenal-Type Follicular Lymphoma,0.7695,Recurrent Follicular Lymphoma,0.7664,Grade 3a Follicular Lymphoma,0.7629,Follicular Lymphoma,True,True,True
FOCAL NEUROENDOCRINE COMPONENT,Neuroendocrine Neoplasm,2,2,Functioning Pituitary Neuroendocrine Tumor,0.7840,Neuroendocrine Neoplasm,0.7773,Neuroendocrine Tumor,0.7681,Functioning Pancreatic Neuroendocrine Tumor,0.7623,Functioning Lung Neuroendocrine Tumor,0.7441,Neuroendocrine Carcinoma,0.7290,Pituitary Neuroendocrine Tumor,0.7054,Functioning Pancreatic Neuroendocrine Tumor G2,0.7045,Functioning Endocrine Neoplasm,0.7033,Advanced Neuroendocrine Tumor,0.7026,Advanced Neuroendocrine Neoplasm,0.7015,Foregut Neuroendocrine Tumor,0.7005,Non-Functioning Pituitary Neuroendocrine Tumor,0.6988,Non-Functioning Pancreatic Neuroendocrine Tumor,0.6973,Non-Functioning Endocrine Neoplasm,0.6941,Null Cell Pituitary Neuroendocrine Tumor,0.6904,Adenocarcinoma with Neuroendocrine Differentiation,0.6868,Grade II Neuroendocrine Carcinoma,0.6843,Non-Functioning Corticotroph Pituitary Neuroendocrine Tumor,0.6832,Advanced Neuroendocrine Carcinoma,0.6830,FOCAL NEUROENDOCRINE COMPONENT,False,True,True
FOLLICULAR CARCINOMA,Thyroid Gland Follicular Carcinoma,1,2,Thyroid Gland Follicular Carcinoma,0.8780,Childhood Thyroid Gland Follicular Carcinoma,0.7670,Follicular Lymphoma,0.7604,Classic Follicular Lymphoma,0.7569,Thyroid Gland Papillary and Follicular Carcinoma,0.7447,Carcinoma,0.7358,Cutaneous Follicular Lymphoma,0.7336,Follicular Variant Thyroid Gland Papillary Carcinoma,0.7256,"Thyroid Gland Follicular Carcinoma, Widely Invasive",0.7240,Thyroid Gland Carcinoma,0.7236,Skin Follicular Basal Cell Carcinoma,0.7117,Papillary Carcinoma,0.7058,Thyroid Gland Follicular Carcinoma by AJCC v8 Stage,0.7048,NUT Carcinoma,0.7004,Advanced Follicular Lymphoma,0.6976,Trichofollicular Carcinoma,0.6971,Thyroid Gland Follicular Lymphoma,0.6954,Thyroid Gland Follicular Carcinoma by AJCC v7 Stage,0.6950,Unresectable Thyroid Gland Follicular Carcinoma,0.6889,Metastatic Thyroid Gland Follicular Carcinoma,0.6887,FOLLICULAR CARCINOMA,True,True,True
FOLLICULAR DENDRITIC CELL SARCOMA,Follicular Dendritic Cell Sarcoma,1,2,Follicular Dendritic Cell Sarcoma,1.0000,Conventional Follicular Dendritic Cell Sarcoma,0.9692,Thyroid Gland Follicular Dendritic Cell Sarcoma,0.8758,Head and Neck Follicular Dendritic Cell Sarcoma,0.8587,Mediastinal Follicular Dendritic Cell Sarcoma,0.8503,Interdigitating Dendritic Cell Sarcoma,0.7190,Fibroblastic Reticular Cell Sarcoma,0.7130,Cutaneous Follicular Lymphoma,0.6952,Classic Follicular Lymphoma,0.6905,Follicular Lymphoma,0.6779,Fibrous Synovial Sarcoma,0.6491,Langerhans Cell Sarcoma,0.6416,Skin Sarcoma,0.6356,Myeloid Sarcoma,0.6341,Pleomorphic Dermal Sarcoma,0.6319,Grade 2 Diffuse Follicular Lymphoma,0.6313,Sarcoma,0.6307,Grade 1 Diffuse Follicular Lymphoma,0.6296,Myxoinflammatory Fibroblastic Sarcoma,0.6296,Classic Dermatofibrosarcoma Protuberans,0.6290,FOLLICULAR DENDRITIC CELL SARCOMA,True,True,True
FOLLICULAR LYMPHOMA,Follicular Lymphoma,1,2,Follicular Lymphoma,1.0000,Classic Follicular Lymphoma,0.9240,Splenic Follicular Lymphoma,0.8357,Advanced Follicular Lymphoma,0.8334,Cutaneous Follicular Lymphoma,0.8270,Thyroid Gland Follicular Lymphoma,0.8246,Pediatric-Type Follicular Lymphoma,0.8209,Intestinal Follicular Lymphoma,0.8170,Lacrimal Gland Follicular Lymphoma,0.8014,Testicular Follicular Lymphoma,0.7942,Grade 1 Follicular Lymphoma,0.7897,Conjunctival Follicular Lymphoma,0.7892,Breast Follicular Lymphoma,0.7866,Lung Follicular Lymphoma,0.7783,Prostate Follicular Lymphoma,0.7763,Salivary Gland Follicular Lymphoma,0.7733,Grade 3 Follicular Lymphoma,0.7730,Duodenal-Type Follicular Lymphoma,0.7695,Recurrent Follicular Lymphoma,0.7664,Grade 3a Follicular Lymphoma,0.7629,FOLLICULAR LYMPHOMA,True,True,True
FOLLICULAR THYROID CANCER,Thyroid Gland Follicular Carcinoma,1,2,Thyroid Gland Follicular Carcinoma,0.9538,Childhood Thyroid Gland Follicular Carcinoma,0.8528,Thyroid Gland Follicular Lymphoma,0.8272,Thyroid Gland Papillary and Follicular Carcinoma,0.8149,Metastatic Thyroid Gland Follicular Carcinoma,0.7975,Thyroid Gland Follicular Adenoma,0.7879,Follicular Variant Thyroid Gland Papillary Carcinoma,0.7878,"Thyroid Gland Follicular Carcinoma, Minimally Invasive",0.7872,"Thyroid Gland Follicular Carcinoma, Widely Invasive",0.7767,Thyroid Gland Carcinoma,0.7738,Refractory Thyroid Gland Follicular Carcinoma,0.7716,Thyroid Gland Mixed Medullary and Follicular Carcinoma,0.7714,"Thyroid Gland Follicular Carcinoma, Clear Cell Variant",0.7642,Thyroid Gland Follicular Carcinoma by AJCC v8 Stage,0.7603,Unresectable Thyroid Gland Follicular Carcinoma,0.7586,Thyroid Gland Clear Cell Follicular Adenoma,0.7543,Thyroid Gland Follicular Carcinoma by AJCC v7 Stage,0.7514,Differentiated Thyroid Gland Carcinoma,0.7493,Thyroid Gland Anaplastic Carcinoma,0.7451,Recurrent Thyroid Gland Follicular Carcinoma,0.7450,FOLLICULAR THYROID CANCER,True,True,True
FOLLICULAR THYROID CARCINOMA,Thyroid Gland Follicular Carcinoma,1,2,Thyroid Gland Follicular Carcinoma,0.9700,Childhood Thyroid Gland Follicular Carcinoma,0.8523,Thyroid Gland Papillary and Follicular Carcinoma,0.8361,Follicular Variant Thyroid Gland Papillary Carcinoma,0.8219,"Thyroid Gland Follicular Carcinoma, Minimally Invasive",0.8057,Metastatic Thyroid Gland Follicular Carcinoma,0.7991,Thyroid Gland Follicular Lymphoma,0.7969,"Thyroid Gland Follicular Carcinoma, Widely Invasive",0.7954,"Thyroid Gland Follicular Carcinoma, Clear Cell Variant",0.7938,Thyroid Gland Mixed Medullary and Follicular Carcinoma,0.7855,Thyroid Gland Carcinoma,0.7771,Thyroid Gland Follicular Carcinoma by AJCC v8 Stage,0.7705,Thyroid Gland Follicular Carcinoma by AJCC v7 Stage,0.7692,Thyroid Gland Follicular Adenoma,0.7680,Unresectable Thyroid Gland Follicular Carcinoma,0.7676,Refractory Thyroid Gland Follicular Carcinoma,0.7652,Thyroid Gland Anaplastic Carcinoma,0.7559,High Grade Follicular Cell-Derived Non-Anaplastic Thyroid Gland Carcinoma,0.7552,Thyroid Gland Clear Cell Follicular Adenoma,0.7507,Differentiated Thyroid Gland Carcinoma,0.7496,FOLLICULAR THYROID CARCINOMA,True,True,True
"FOLLICULAR, PAPILLARY",Thyroid Gland Papillary and Follicular Carcinoma,99,2,Papillary Neoplasm,0.7224,Papillary Adenoma,0.7050,Thyroid Gland Follicular Adenoma with Papillary Architecture,0.6905,Papillary Adenofibroma,0.6885,Papillary Epithelial Neoplasm,0.6715,Papillary Adenocarcinoma,0.6659,Papillary Carcinoma,0.6657,Parotid Gland Follicular Lymphoma,0.6639,Follicular Myxoma,0.6637,Prostate Follicular Lymphoma,0.6576,Papillary Meningioma,0.6532,Papillary Cystic Neoplasm,0.6530,Follicular Lymphoma,0.6444,Thyroid Gland Follicular Lymphoma,0.6406,Breast Papillary Neoplasm,0.6360,Ovarian Papillary Tumor,0.6340,Papillary Cystadenoma,0.6319,Classic Follicular Lymphoma,0.6302,Thyroid Gland Follicular Adenoma,0.6266,Glandular Papilloma,0.6250,"FOLLICULAR, PAPILLARY",False,False,False
FOLLICULAR_CARCINOMA,Thyroid Gland Follicular Carcinoma,1,2,Thyroid Gland Follicular Carcinoma,0.8427,Thyroid Gland Papillary and Follicular Carcinoma,0.7455,Childhood Thyroid Gland Follicular Carcinoma,0.7320,Thyroid Gland Follicular Carcinoma by AJCC v8 Stage,0.7300,Follicular Lymphoma,0.7234,Carcinoma,0.7232,Classic Follicular Lymphoma,0.7196,"Thyroid Gland Follicular Carcinoma, Widely Invasive",0.7178,Thyroid Gland Follicular Carcinoma by AJCC v7 Stage,0.7102,Thyroid Gland Carcinoma,0.7051,Cutaneous Follicular Lymphoma,0.7042,Follicular Variant Thyroid Gland Papillary Carcinoma,0.6936,Metastatic Thyroid Gland Follicular Carcinoma,0.6761,Trichofollicular Carcinoma,0.6727,Advanced Follicular Lymphoma,0.6727,Thyroid Gland Follicular Lymphoma,0.6725,Refractory Thyroid Gland Follicular Carcinoma,0.6713,NUT Carcinoma,0.6693,Skin Follicular Basal Cell Carcinoma,0.6670,Unresectable Thyroid Gland Follicular Carcinoma,0.6647,FOLLICULAR_CARCINOMA,True,True,True
FUSION+ RMS,Fusion-Positive Rhabdomyosarcoma,1,2,Fusion-Positive Rhabdomyosarcoma,0.8571,Fusion-Positive Alveolar Rhabdomyosarcoma,0.8062,Fusion-Negative Rhabdomyosarcoma,0.7995,Fusion-Negative Alveolar Rhabdomyosarcoma,0.7438,CIC-Rearranged Sarcoma,0.6422,Rhabdomyosarcoma with TFCP2 Rearrangement,0.6332,Refractory Rhabdomyosarcoma,0.6278,Intraosseous Spindle Cell Rhabdomyosarcoma with TFCP2/NCOA2 Rearrangements,0.6276,Rhabdomyosarcoma,0.6234,Fetal Rhabdomyoma,0.6228,Round Cell Sarcoma with FUS-NFATC2 Gene Fusion,0.6199,Round Cell Sarcoma with EWSR1-PATZ1 Gene Fusion,0.6178,Childhood CIC-Rearranged Sarcoma,0.6172,Refractory Sarcoma,0.6171,Refractory Solitary Fibrous Tumor,0.6142,Rhabdomyoma,0.6123,Refractory Alveolar Rhabdomyosarcoma,0.6120,Reticulosarcoma,0.6096,Maxillofacial Rhabdomyosarcoma with TFCP2 Rearrangement,0.6086,Round Cell Sarcoma with EWSR1-non-ETS Fusion,0.6052,FUSION+ RMS,True,True,True
FUSION- RMS,Fusion-Negative Rhabdomyosarcoma,2,2,Fusion-Positive Rhabdomyosarcoma,0.8590,Fusion-Negative Rhabdomyosarcoma,0.8293,Fusion-Positive Alveolar Rhabdomyosarcoma,0.8292,Fusion-Negative Alveolar Rhabdomyosarcoma,0.7954,Rhabdomyosarcoma,0.6698,Alveolar Rhabdomyosarcoma,0.6644,CIC-Rearranged Sarcoma,0.6538,Refractory Alveolar Rhabdomyosarcoma,0.6514,Refractory Rhabdomyosarcoma,0.6511,Conventional Alveolar Rhabdomyosarcoma,0.6414,Intraosseous Spindle Cell Rhabdomyosarcoma with TFCP2/NCOA2 Rearrangements,0.6398,Rhabdomyoma,0.6371,Refractory Sarcoma,0.6309,Pleomorphic Rhabdomyosarcoma,0.6291,Childhood CIC-Rearranged Sarcoma,0.6256,Retroperitoneal Rhabdomyosarcoma,0.6247,Round Cell Sarcoma with FUS-NFATC2 Gene Fusion,0.6233,Round Cell Sarcoma with EWSR1-PATZ1 Gene Fusion,0.6232,Anaplastic Embryonal Rhabdomyosarcoma,0.6216,Fetal Rhabdomyoma,0.6186,FUSION- RMS,False,True,True
GALLBLADDER ADENOCARCINOMA,Gallbladder Adenocarcinoma,1,2,Gallbladder Adenocarcinoma,1.0000,Gallbladder Carcinoma,0.9251,"Gallbladder Adenocarcinoma, Biliary Type",0.9026,"Gallbladder Adenocarcinoma, Intestinal-Type",0.8741,Gallbladder Goblet Cell Adenocarcinoma,0.8728,Gallbladder Adenoma,0.8660,Gallbladder Mucinous Adenocarcinoma,0.8646,Gallbladder Clear Cell Adenocarcinoma,0.8563,Malignant Gallbladder Neoplasm,0.8477,Gallbladder Hepatoid Adenocarcinoma,0.8422,Advanced Gallbladder Carcinoma,0.8381,Gallbladder Adenocarcinoma with Squamous Metaplasia,0.8299,Gallbladder Neoplasm,0.8264,Unresectable Gallbladder Adenocarcinoma,0.8159,Incidental Gallbladder Carcinoma,0.8086,Bile Duct Adenocarcinoma,0.8027,Gallbladder Lymphoma,0.7992,Gallbladder Melanoma,0.7970,Gallbladder Undifferentiated Carcinoma,0.7957,Bladder Adenocarcinoma,0.7858,GALLBLADDER ADENOCARCINOMA,True,True,True
"GALLBLADDER ADENOCARCINOMA, NOS",Gallbladder Adenocarcinoma,1,2,Gallbladder Adenocarcinoma,0.9480,"Gallbladder Adenocarcinoma, Biliary Type",0.9069,Gallbladder Carcinoma,0.8910,"Gallbladder Adenocarcinoma, Intestinal-Type",0.8870,Gallbladder Goblet Cell Adenocarcinoma,0.8390,Malignant Gallbladder Neoplasm,0.8370,Gallbladder Clear Cell Adenocarcinoma,0.8290,Gallbladder Hepatoid Adenocarcinoma,0.8287,Gallbladder Mucinous Adenocarcinoma,0.8259,Gallbladder Adenocarcinoma with Squamous Metaplasia,0.8168,Gallbladder Adenoma,0.8112,Advanced Gallbladder Carcinoma,0.7910,Gallbladder Neoplasm,0.7881,"Gallbladder Adenoma, Intestinal-Type",0.7721,Bile Duct Adenocarcinoma,0.7692,Gallbladder Squamous Cell Carcinoma,0.7576,Unresectable Gallbladder Adenocarcinoma,0.7569,Gallbladder Undifferentiated Carcinoma,0.7568,Gallbladder Melanoma,0.7480,"Gallbladder Adenocarcinoma, Gastric Foveolar Type",0.7478,"GALLBLADDER ADENOCARCINOMA, NOS",True,True,True
GALLBLADDER ADENOSQUAMOUS CARCINOMA,Gallbladder Adenosquamous Carcinoma,1,2,Gallbladder Adenosquamous Carcinoma,1.0000,Gallbladder Squamous Cell Carcinoma,0.8499,Gallbladder Adenocarcinoma with Squamous Metaplasia,0.8361,Gallbladder Goblet Cell Adenocarcinoma,0.8052,Gastric Adenosquamous Carcinoma,0.8031,Gallbladder Mucinous Adenocarcinoma,0.7957,Gallbladder Sarcomatoid Carcinoma,0.7873,Gallbladder Clear Cell Adenocarcinoma,0.7830,Gallbladder Undifferentiated Carcinoma,0.7707,Gallbladder Adenocarcinoma,0.7669,Gallbladder Hepatoid Adenocarcinoma,0.7584,Conjunctival Adenosquamous Carcinoma,0.7571,Colon Adenosquamous Carcinoma,0.7569,Breast Adenosquamous Carcinoma,0.7564,Gallbladder Mixed Adenoneuroendocrine Carcinoma,0.7521,Gallbladder Carcinoma,0.7516,Liver Adenosquamous Carcinoma,0.7501,Bartholin Gland Adenosquamous Carcinoma,0.7497,Adenosquamous Carcinoma,0.7496,Extrahepatic Bile Duct Adenosquamous Carcinoma,0.7487,GALLBLADDER ADENOSQUAMOUS CARCINOMA,True,True,True
GALLBLADDER CANCER,Gallbladder Carcinoma,1,2,Gallbladder Carcinoma,0.9672,Gallbladder Adenocarcinoma,0.9295,Gallbladder Neoplasm,0.8851,Malignant Gallbladder Neoplasm,0.8710,"Gallbladder Adenocarcinoma, Biliary Type",0.8485,Advanced Gallbladder Carcinoma,0.8318,Gallbladder Adenoma,0.8282,Gallbladder Lymphoma,0.8250,Incidental Gallbladder Carcinoma,0.8184,Localized Gallbladder Carcinoma,0.8184,Gallbladder Clear Cell Adenocarcinoma,0.8106,"Gallbladder Adenocarcinoma, Intestinal-Type",0.8099,Gallbladder Goblet Cell Adenocarcinoma,0.8023,Gallbladder Undifferentiated Carcinoma,0.8019,Gallbladder Neuroendocrine Carcinoma,0.8011,Localized Malignant Gallbladder Neoplasm,0.7975,Gallbladder Melanoma,0.7885,Metastatic Gallbladder Carcinoma,0.7873,Gallbladder Mucinous Adenocarcinoma,0.7861,Gallbladder Hepatoid Adenocarcinoma,0.7846,GALLBLADDER CANCER,True,True,True
GALLBLADDER CARCINOMA,Gallbladder Carcinoma,1,2,Gallbladder Carcinoma,1.0000,Gallbladder Adenocarcinoma,0.9251,Advanced Gallbladder Carcinoma,0.8633,"Gallbladder Adenocarcinoma, Biliary Type",0.8586,Malignant Gallbladder Neoplasm,0.8491,Localized Gallbladder Carcinoma,0.8420,Gallbladder Neoplasm,0.8408,Gallbladder Undifferentiated Carcinoma,0.8284,Gallbladder Clear Cell Adenocarcinoma,0.8281,Gallbladder Neuroendocrine Carcinoma,0.8280,Gallbladder Goblet Cell Adenocarcinoma,0.8170,Gallbladder Squamous Cell Carcinoma,0.8160,"Gallbladder Adenocarcinoma, Intestinal-Type",0.8147,Incidental Gallbladder Carcinoma,0.8134,Metastatic Gallbladder Carcinoma,0.8066,Gallbladder Adenoma,0.8054,Locally Advanced Gallbladder Carcinoma,0.8047,Gallbladder Mucinous Adenocarcinoma,0.7996,Gallbladder Lymphoma,0.7970,Gallbladder Hepatoid Adenocarcinoma,0.7906,GALLBLADDER CARCINOMA,True,True,True
GALLBLADDER CARCINOMA OTHER,Gallbladder Carcinoma,1,2,Gallbladder Carcinoma,0.8463,Incidental Gallbladder Carcinoma,0.7925,Gallbladder Neoplasm,0.7850,Gallbladder Adenocarcinoma,0.7808,Gallbladder Undifferentiated Carcinoma,0.7614,Gallbladder Neuroendocrine Carcinoma,0.7589,Advanced Gallbladder Carcinoma,0.7583,Unresectable Gallbladder Carcinoma,0.7572,Localized Gallbladder Carcinoma,0.7486,Metastatic Gallbladder Carcinoma,0.7475,Gallbladder Lymphoma,0.7333,"Gallbladder Adenocarcinoma, Biliary Type",0.7322,Unresectable Gallbladder Adenocarcinoma,0.7313,Malignant Gallbladder Neoplasm,0.7230,Gallbladder Neuroendocrine Neoplasm,0.7202,Gallbladder Clear Cell Adenocarcinoma,0.7126,Locally Advanced Gallbladder Carcinoma,0.7118,Gallbladder Large Cell Neuroendocrine Carcinoma,0.7068,Gallbladder Neuroendocrine Tumor,0.7064,Gallbladder Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma,0.7056,GALLBLADDER CARCINOMA OTHER,True,True,True
GALLBLADDER NEUROENDOCRINE TUMOR,Gallbladder Neuroendocrine Tumor,1,2,Gallbladder Neuroendocrine Tumor,1.0000,Gallbladder Neuroendocrine Neoplasm,0.9770,Gallbladder Neuroendocrine Carcinoma,0.9012,Gallbladder Neuroendocrine Tumor G1,0.8867,Gallbladder Neuroendocrine Tumor G2,0.8690,Gallbladder Neuroendocrine Tumor G3,0.8505,Gallbladder Small Cell Neuroendocrine Carcinoma,0.8306,Gallbladder Large Cell Neuroendocrine Carcinoma,0.8278,Gallbladder Tubular Carcinoid,0.8254,Gastric Neuroendocrine Tumor,0.8117,Benign Gallbladder Granular Cell Tumor,0.7930,Gastrin-Producing Neuroendocrine Tumor,0.7922,Bladder Neuroendocrine Tumor,0.7885,Gastric Gastrin-Producing Neuroendocrine Tumor,0.7875,Gallbladder Neoplasm,0.7849,Gallbladder Carcinosarcoma,0.7798,Gastric Neuroendocrine Neoplasm,0.7770,Gallbladder Adenoma,0.7753,Gallbladder Lymphoma,0.7718,Pancreatic Gastrin-Producing Neuroendocrine Tumor,0.7711,GALLBLADDER NEUROENDOCRINE TUMOR,True,True,True
GALLBLADDER_ADENOCARCINOMA,Gallbladder Adenocarcinoma,1,2,Gallbladder Adenocarcinoma,0.9630,"Gallbladder Adenocarcinoma, Biliary Type",0.8904,Gallbladder Carcinoma,0.8788,"Gallbladder Adenocarcinoma, Intestinal-Type",0.8738,Gallbladder Goblet Cell Adenocarcinoma,0.8680,Gallbladder Mucinous Adenocarcinoma,0.8540,Gallbladder Adenoma,0.8418,Gallbladder Adenocarcinoma with Squamous Metaplasia,0.8342,Malignant Gallbladder Neoplasm,0.8323,Gallbladder Hepatoid Adenocarcinoma,0.8235,Gallbladder Clear Cell Adenocarcinoma,0.8232,Advanced Gallbladder Carcinoma,0.8069,Gallbladder Neoplasm,0.8041,Unresectable Gallbladder Adenocarcinoma,0.8010,"Gallbladder Adenoma, Intestinal-Type",0.7899,Gallbladder Undifferentiated Carcinoma,0.7776,Bile Duct Adenocarcinoma,0.7770,Incidental Gallbladder Carcinoma,0.7745,Gallbladder Melanoma,0.7682,Resectable Gallbladder Adenocarcinoma,0.7677,GALLBLADDER_ADENOCARCINOMA,True,True,True
GANGLIOGLIOMA,Ganglioglioma,1,2,Ganglioglioma,1.0000,Adult Ganglioglioma,0.9110,Childhood Ganglioglioma,0.9047,Gangliocytoma,0.8999,Anaplastic Ganglioglioma,0.8744,Hypothalamic Gangliocytoma,0.7769,Ganglioneuroma,0.7456,Sellar Gangliocytoma,0.7425,Recurrent Gangliocytoma,0.7382,Desmoplastic Infantile Ganglioglioma,0.7366,Dysplastic Cerebellar Gangliocytoma,0.7339,Childhood Ganglioneuroma,0.7309,Glioma,0.7249,Adult Ganglioneuroma,0.7224,Mature Ganglioneuroma,0.7193,Maturing Ganglioneuroma,0.7156,Neural Glioblastoma,0.7156,Ganglioneuromatosis,0.7088,Composite Gangliocytoma/Neuroma and Neuroendocrine Tumor,0.7043,Gliomatosis Cerebri,0.7020,GANGLIOGLIOMA,True,True,True
GANGLIONEUROBLASTOMA,Ganglioneuroblastoma,1,2,Ganglioneuroblastoma,1.0000,Peripheral Ganglioneuroblastoma,0.9174,"Ganglioneuroblastoma, Nodular",0.9004,Central Nervous System Ganglioneuroblastoma,0.8868,Childhood Ganglioneuroblastoma,0.8570,Adrenal Gland Ganglioneuroblastoma,0.8340,Recurrent Ganglioneuroblastoma,0.8331,"Ganglioneuroblastoma, Intermixed",0.8318,Mediastinal Ganglioneuroblastoma,0.8217,Childhood Brain Ganglioneuroblastoma,0.8210,Ganglioneuroma,0.8131,Refractory Ganglioneuroblastoma,0.8041,Childhood Central Nervous System Ganglioneuroblastoma,0.7958,Mature Ganglioneuroma,0.7921,"Childhood Ganglioneuroblastoma, Nodular",0.7752,Adult Ganglioneuroma,0.7731,"Composite Ganglioneuroblastoma, Stroma-Dominant and Stroma-Poor",0.7642,Ganglioneuromatosis,0.7574,"Childhood Ganglioneuroblastoma, Intermixed",0.7551,"Adrenal Gland Ganglioneuroblastoma, Nodular",0.7423,GANGLIONEUROBLASTOMA,True,True,True
"GANGLIONEUROBLASTOMA, INTERMIXED","Ganglioneuroblastoma, Intermixed",1,2,"Ganglioneuroblastoma, Intermixed",1.0000,"Childhood Ganglioneuroblastoma, Intermixed",0.8973,"Adrenal Gland Ganglioneuroblastoma, Intermixed",0.8590,Ganglioneuroblastoma,0.8318,"Ganglioneuroblastoma, Nodular",0.8013,Peripheral Ganglioneuroblastoma,0.7829,Recurrent Ganglioneuroblastoma,0.7652,"Composite Ganglioneuroblastoma, Stroma-Dominant and Stroma-Poor",0.7579,Central Nervous System Ganglioneuroblastoma,0.7578,Childhood Ganglioneuroblastoma,0.7464,"Composite Ganglioneuroblastoma, Schwannian Stroma-Rich and Stroma-Poor",0.7407,Childhood Brain Ganglioneuroblastoma,0.7209,Mediastinal Ganglioneuroblastoma,0.7147,Adrenal Gland Ganglioneuroblastoma,0.7125,Refractory Ganglioneuroblastoma,0.7118,Mature Ganglioneuroma,0.7072,"Childhood Ganglioneuroblastoma, Nodular",0.7044,Ganglioneuroma,0.7000,Myxoid Glioneuronal Tumor,0.6957,Childhood Central Nervous System Ganglioneuroblastoma,0.6956,"GANGLIONEUROBLASTOMA, INTERMIXED",True,True,True
"GANGLIONEUROBLASTOMA, NODULAR","Ganglioneuroblastoma, Nodular",1,2,"Ganglioneuroblastoma, Nodular",1.0000,Ganglioneuroblastoma,0.9004,"Childhood Ganglioneuroblastoma, Nodular",0.8958,Peripheral Ganglioneuroblastoma,0.8820,Childhood Ganglioneuroblastoma,0.8521,"Adrenal Gland Ganglioneuroblastoma, Nodular",0.8379,Central Nervous System Ganglioneuroblastoma,0.8346,Recurrent Ganglioneuroblastoma,0.8331,Mature Ganglioneuroma,0.8042,Childhood Brain Ganglioneuroblastoma,0.8042,Adrenal Gland Ganglioneuroblastoma,0.8016,"Ganglioneuroblastoma, Intermixed",0.8013,Childhood Central Nervous System Ganglioneuroblastoma,0.7938,Ganglioneuroma,0.7923,Adult Ganglioneuroma,0.7914,Mediastinal Ganglioneuroblastoma,0.7849,"Childhood Ganglioneuroblastoma, Intermixed",0.7742,"Composite Ganglioneuroblastoma, Schwannian Stroma-Rich and Stroma-Poor",0.7731,"Composite Ganglioneuroblastoma, Stroma-Dominant and Stroma-Poor",0.7720,Refractory Ganglioneuroblastoma,0.7605,"GANGLIONEUROBLASTOMA, NODULAR",True,True,True
