original_value,top1_match,top2_match,top3_match,top4_match,top5_match,top1_confidence,top1_quality,top1_rationale,top2_confidence,top2_quality,top2_rationale,top3_confidence,top3_quality,top3_rationale,top4_confidence,top4_quality,top4_rationale,top5_confidence,top5_quality,top5_rationale,best_match_rank,best_match_confidence,overall_assessment
GASTRIC_CANCER,Gastric Carcinoma,Gastric Neoplasm,Malignant Gastric Neoplasm,Gastric Adenocarcinoma,Early Gastric Cancer,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GASTRIC_SMALL_CELL,Gastric Small Cell Neuroendocrine Carcinoma,Advanced Gastric Small Cell Neuroendocrine Carcinoma,Gastric Undifferentiated Carcinoma,Gastric Neuroendocrine Carcinoma,Gastric Squamous Cell Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GASTROINTESTINAL NEUROENDOCRINE,Digestive System Neuroendocrine Neoplasm,Gastric Neuroendocrine Neoplasm,Gastric Neuroendocrine Tumor,Digestive System Neuroendocrine Tumor,Intestinal Neuroendocrine Neoplasm,0.35,fair,1/2 key terms matched; 38.0% term overlap,0.5,moderate,1/2 key terms matched; 40.0% term overlap,0.45,fair,1/2 key terms matched; 40.0% term overlap,0.2,poor,1/2 key terms matched; 38.0% term overlap,0.35,fair,1/2 key terms matched; 40.0% term overlap,2,0.5,low_confidence
GASTROINTESTINAL NEUROENDOCRINE TUMOR,Digestive System Neuroendocrine Tumor,Gastric Neuroendocrine Tumor,Intestinal Neuroendocrine Tumor,Digestive System Neuroendocrine Neoplasm,Gastric Neuroendocrine Neoplasm,0.55,moderate,2/3 key terms matched; 56.0% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.2,poor,1/3 key terms matched; 26.7% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,2,0.65,moderate_confidence
GASTROINTESTINAL NEUROENDOCRINE TUMORS,Digestive System Neuroendocrine Tumor,Gastric Neuroendocrine Tumor,Intestinal Neuroendocrine Tumor,Digestive System Neuroendocrine Neoplasm,Gastric Neuroendocrine Neoplasm,0.35,fair,1/3 key terms matched; 26.7% term overlap,0.3,fair,1/3 key terms matched; 28.0% term overlap,0.25,poor,1/3 key terms matched; 28.0% term overlap,0.2,poor,1/3 key terms matched; 26.7% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,0.35,low_confidence
GASTROINTESTINAL STROMAL,Gastrointestinal Stromal Tumor,Malignant Gastrointestinal Stromal Tumor,Gastric Gastrointestinal Stromal Tumor,Benign Gastrointestinal Stromal Tumor,Gastrointestinal Stromal Tumor of the Gastrointestinal Tract,0.95,excellent,All key terms present (2/2 terms matched),0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.75,good,All key terms present (2/2 terms matched),1,0.95,high_confidence
GASTROINTESTINAL STROMAL TUMOR,Gastrointestinal Stromal Tumor,Gastrointestinal Stromal Tumor of the Gastrointestinal Tract,Gastric Gastrointestinal Stromal Tumor,Malignant Gastrointestinal Stromal Tumor,Benign Gastrointestinal Stromal Tumor,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.75,good,All key terms present (3/3 terms matched),1,1.0,high_confidence
GB,Glioblastoma,Glioma,Gallbladder Benign Neoplasm,Gallbladder Melanoma,Diffuse Glioma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GBC,Gallbladder Carcinoma,Gallbladder Neuroendocrine Carcinoma,Gallbladder Undifferentiated Carcinoma,Gastric Body Carcinoma,Advanced Gallbladder Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GBM,Glioblastoma,Classical Glioblastoma,Brain Glioblastoma,Cerebral Glioblastoma,Glioma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GERM CELL TUMOR,Germ Cell Tumor,Testicular Germ Cell Tumor,Childhood Germ Cell Tumor,Malignant Germ Cell Tumor,Adult Germ Cell Tumor,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.75,good,All key terms present (3/3 terms matched),1,1.0,high_confidence
GERM CELL TUMOR (EMBRYONAL CARCINOMA),Embryonal Carcinoma,Testicular Embryonal Carcinoma,Extragonadal Embryonal Carcinoma,Germ Cell Tumor,Childhood Testicular Embryonal Carcinoma,0.55,moderate,2/5 key terms matched; 40.0% term overlap,0.3,fair,2/5 key terms matched; 37.3% term overlap,0.25,poor,2/5 key terms matched; 37.3% term overlap,0.55,moderate,3/5 key terms matched; 60.0% term overlap,0.15,poor,2/5 key terms matched; 35.4% term overlap,1,0.55,moderate_confidence
GERM CELL TUMOR WITH SOMATIC-TYPE MALIGNANCY,Mediastinal Germ Cell Tumor with Somatic-Type Malignancy,Somatic-Type Malignancy,Germ Cell Tumor,Malignant Germ Cell Tumor,Germinomatous Germ Cell Tumor,0.95,excellent,All key terms present (6/6 terms matched),0.5,moderate,3/6 key terms matched; 50.0% term overlap,0.45,fair,3/6 key terms matched; 50.0% term overlap,0.4,fair,3/6 key terms matched; 47.1% term overlap,0.35,fair,3/6 key terms matched; 47.1% term overlap,1,0.95,high_confidence
"GERM CELL TUMOR, BRAIN",Childhood Brain Germ Cell Tumor,Central Nervous System Germ Cell Tumor,Brain Germinoma,Childhood Central Nervous System Germ Cell Tumor,Central Nervous System Nongerminomatous Germ Cell Tumor,0.95,excellent,All key terms present (4/4 terms matched),0.65,moderate,3/4 key terms matched; 62.1% term overlap,0.25,poor,1/4 key terms matched; 23.0% term overlap,0.55,moderate,3/4 key terms matched; 60.0% term overlap,0.5,fair,3/4 key terms matched; 60.0% term overlap,1,0.95,high_confidence
GERMINAL CENTER B-CELL TYPE,Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type,Centroblastic Lymphoma,Gray-Zone Lymphoma,"Malignant Lymphoma Centroblastic, Follicular",Recurrent Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type,0.95,excellent,All key terms present (4/4 terms matched),0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.75,good,All key terms present (4/4 terms matched),1,0.95,high_confidence
GERMINAL CENTER B-CELL-LIKE GCB DLBCL,Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type,Recurrent Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type,Refractory Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type,Centroblastic Lymphoma,High Grade B-Cell Lymphoma,0.55,moderate,3/6 key terms matched; 42.0% term overlap,0.5,moderate,3/6 key terms matched; 40.9% term overlap,0.45,fair,3/6 key terms matched; 40.9% term overlap,0.05,poor,No key term overlap - likely poor match,0.0,poor,1/6 key terms matched; 14.4% term overlap,1,0.55,moderate_confidence
GIANT CELL 'MFH' / UNDIFFERENTIATED PLEOMORPHIC SARCOMA WITH GIANT CELLS,Undifferentiated Pleomorphic Sarcoma with Osteoclast-Like Giant Cells,Giant Cell Sarcoma,Giant Cell Fibroblastoma,Undifferentiated High Grade Pleomorphic Sarcoma of Bone,Malignant Giant Cell Neoplasm,0.7,good,5/7 key terms matched; 65.1% term overlap,0.5,moderate,3/7 key terms matched; 42.9% term overlap,0.25,poor,2/7 key terms matched; 27.1% term overlap,0.2,poor,3/7 key terms matched; 37.7% term overlap,0.15,poor,2/7 key terms matched; 26.0% term overlap,1,0.7,good_confidence
GIANT CELL TUMOR OF BONE,Giant Cell Tumor of Bone,Giant Cell Tumor,Giant Cell Neoplasm,Malignancy in Giant Cell Tumor of Bone,Osteoclastic Giant Cell-Rich Tumor of Bone,1.0,excellent,Exact match,0.65,moderate,3/4 key terms matched; 75.0% term overlap,0.45,fair,2/4 key terms matched; 46.0% term overlap,0.8,good,All key terms present (4/4 terms matched),0.75,good,All key terms present (4/4 terms matched),1,1.0,high_confidence
GIANT CELL TUMOUR,Giant Cell Tumor,Giant Cell Neoplasm,Giant Cell Tumor of Bone,Giant Cell Tumor of Soft Tissue,Malignancy in Giant Cell Tumor of Bone,0.7,good,2/3 key terms matched; 60.0% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.45,fair,2/3 key terms matched; 56.0% term overlap,0.4,fair,2/3 key terms matched; 53.3% term overlap,0.35,fair,2/3 key terms matched; 53.3% term overlap,1,0.7,good_confidence
GIANT_CELL_TUMOUR,Giant Cell Tumor,Giant Cell Neoplasm,Giant Cell Tumor of Bone,Malignancy in Giant Cell Tumor of Bone,Giant Cell Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GINET,Intestinal Neuroendocrine Tumor,Intestinal Neuroendocrine Neoplasm,Intestinal Neuroendocrine Tumor G1,Ileal Neuroendocrine Tumor,Intestinal Neuroendocrine Tumor G2,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GIST,Gastrointestinal Stromal Tumor,Gastric Gastrointestinal Stromal Tumor,Gastric Sarcoma,Small Intestinal Gastrointestinal Stromal Tumor,Malignant Gastrointestinal Stromal Tumor,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GLIOBLASTOMA,Glioblastoma,Brain Glioblastoma,Classical Glioblastoma,Cerebral Glioblastoma,Glioma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.0,poor,No key term overlap - likely poor match,1,1.0,high_confidence
GLIOBLASTOMA MULTIFORME,Multifocal Glioblastomas,Metastatic Glioblastoma,Glioblastoma,Mesenchymal Glioblastoma,Classical Glioblastoma,0.2,poor,No key term overlap - likely poor match,0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 50.0% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.35,fair,1/2 key terms matched; 43.3% term overlap,2,0.5,low_confidence
GLIOBLASTOMA MULTIFORME GBM,Multifocal Glioblastomas,Metastatic Glioblastoma,Mesenchymal Glioblastoma,Glioblastoma,Brain Glioblastoma,0.2,poor,No key term overlap - likely poor match,0.3,fair,1/3 key terms matched; 30.0% term overlap,0.25,poor,1/3 key terms matched; 30.0% term overlap,0.2,poor,1/3 key terms matched; 33.3% term overlap,0.15,poor,1/3 key terms matched; 30.0% term overlap,2,0.3,low_confidence
"GLIOBLASTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant","Glioblastoma, IDH-Wildtype","Astrocytoma, IDH-Mutant, Grade 2","Astrocytoma, IDH-Mutant, Grade 3","Gemistocytic Astrocytoma, IDH-Mutant",0.7,good,2/3 key terms matched; 60.0% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.45,fair,2/3 key terms matched; 56.0% term overlap,0.4,fair,2/3 key terms matched; 56.0% term overlap,0.35,fair,2/3 key terms matched; 56.0% term overlap,1,0.7,good_confidence
"GLIOBLASTOMA, IDH-WILDTPYE","Glioblastoma, IDH-Wildtype","Astrocytoma, IDH-Wildtype","Astrocytoma, IDH-Mutant","Anaplastic Astrocytoma, IDH-Wildtype","Diffuse Astrocytoma, IDH-Wildtype",0.7,good,2/3 key terms matched; 60.0% term overlap,0.3,fair,1/3 key terms matched; 28.0% term overlap,0.25,poor,1/3 key terms matched; 28.0% term overlap,0.2,poor,1/3 key terms matched; 26.7% term overlap,0.15,poor,1/3 key terms matched; 26.7% term overlap,1,0.7,good_confidence
"GLIOBLASTOMA, IDH-WILDTYPE","Glioblastoma, IDH-Wildtype","Astrocytoma, IDH-Wildtype","Diffuse Astrocytoma, IDH-Wildtype","Anaplastic Astrocytoma, IDH-Wildtype","Astrocytoma, IDH-Mutant",1.0,excellent,Exact match,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.45,fair,2/3 key terms matched; 56.0% term overlap,0.4,fair,2/3 key terms matched; 56.0% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,1.0,high_confidence
GLIOBLASTOMA_MULTIFORME,Multifocal Glioblastomas,Metastatic Glioblastoma,Glioblastoma,Mesenchymal Glioblastoma,Brain Glioblastoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GLIOMA,Glioma,Glioblastoma,Diffuse Glioma,Malignant Glioma,Cerebral Glioblastoma,1.0,excellent,Exact match,0.15,poor,No key term overlap - likely poor match,0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.0,poor,No key term overlap - likely poor match,1,1.0,high_confidence
GLIONEURONAL TUMOR,Glioneuronal and Neuronal Tumors,Papillary Glioneuronal Tumor,Cerebellar Glioneuronal and Neuronal Tumors,Glioneuronal Tumor with Neuropil-Like Islands,Diffuse Leptomeningeal Glioneuronal Tumor,0.55,moderate,1/2 key terms matched; 40.0% term overlap,0.9,excellent,All key terms present (2/2 terms matched),0.25,poor,1/2 key terms matched; 38.0% term overlap,0.8,good,All key terms present (2/2 terms matched),0.75,good,All key terms present (2/2 terms matched),2,0.9,alternate_match_better
GLIOSARCOMA,Gliosarcoma,Adult Gliosarcoma,Childhood Gliosarcoma,Recurrent Gliosarcoma,Refractory Gliosarcoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,1.0,high_confidence
GLOMANGIOSARCOMA,Glomangioma,Glomangiomyoma,Glomangiomatosis,Skin Glomangioma,Hereditary Glomangioma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GOBLET CELL ADENOCARCINOMA OF THE APPENDIX,Appendix Goblet Cell Adenocarcinoma,Goblet Cell Adenocarcinoma,Appendix Mucinous Adenocarcinoma,Gallbladder Goblet Cell Adenocarcinoma,Appendix Adenocarcinoma,0.95,excellent,All key terms present (4/4 terms matched),0.65,moderate,3/4 key terms matched; 75.0% term overlap,0.45,fair,2/4 key terms matched; 46.0% term overlap,0.55,moderate,3/4 key terms matched; 69.0% term overlap,0.35,fair,2/4 key terms matched; 50.0% term overlap,1,0.95,high_confidence
GOBLET CELL CARCINOID OF THE APPENDIX,Appendix Goblet Cell Adenocarcinoma,Appendix Tubular Carcinoid,Goblet Cell Adenocarcinoma,Gallbladder Goblet Cell Adenocarcinoma,Appendix Mucinous Neoplasm,0.7,good,3/4 key terms matched; 69.0% term overlap,0.5,moderate,2/4 key terms matched; 46.0% term overlap,0.45,fair,2/4 key terms matched; 46.0% term overlap,0.4,fair,2/4 key terms matched; 43.3% term overlap,0.15,poor,1/4 key terms matched; 21.7% term overlap,1,0.7,good_confidence
GRANULAR CELL TUMOR,Granular Cell Tumor,Gastric Granular Cell Tumor,Benign Granular Cell Tumor,Childhood Granular Cell Tumor,Granular Cell Carcinoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.5,fair,2/3 key terms matched; 60.0% term overlap,1,1.0,high_confidence
GRANULOSA CELL TUMOR,Granulosa Cell Tumor,Ovarian Granulosa Cell Tumor,Testicular Granulosa Cell Tumor,Adult Granulosa Cell Tumor,Malignant Granulosa Cell Tumor,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.75,good,All key terms present (3/3 terms matched),1,1.0,high_confidence
GRANULOSA_CELL_TUMOR,Granulosa Cell Tumor,Ovarian Granulosa Cell Tumor,Testicular Granulosa Cell Tumor,Granulosa Cell-Theca Cell Tumor,Malignant Granulosa Cell Tumor,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
GRANULOSA_CELL_TUMOUR,Granulosa Cell Tumor,Ovarian Granulosa Cell Tumor,Testicular Granulosa Cell Tumor,Granulosa Cell-Theca Cell Tumor,Malignant Granulosa Cell Tumor,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
HAEMATOPOIETIC NEOPLASM,Myeloid Neoplasm,Bone Marrow Neoplasm,Hematopoietic and Lymphoid Cell Neoplasm,Hematopoietic and Lymphatic System Neoplasm,Erythroid Neoplasm,0.55,moderate,1/2 key terms matched; 43.3% term overlap,0.5,moderate,1/2 key terms matched; 40.0% term overlap,0.25,poor,1/2 key terms matched; 38.0% term overlap,0.2,poor,1/2 key terms matched; 38.0% term overlap,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,0.55,moderate_confidence
HAIRY CELL LEUKEMIA,Hairy Cell Leukemia,Hairy Cell Leukemia Variant,Refractory Hairy Cell Leukemia,Recurrent Hairy Cell Leukemia,Splenic Manifestation of Hairy Cell Leukemia,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.75,good,All key terms present (3/3 terms matched),1,1.0,high_confidence
HAIRY_CELL_LEUKEMIA,Hairy Cell Leukemia,Hairy Cell Leukemia Variant,Refractory Hairy Cell Leukemia,Recurrent Hairy Cell Leukemia,Progressive Hairy Cell Leukemia Initial Treatment,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
HCC,Hepatocellular Carcinoma,Liver Carcinoma,Early Hepatocellular Carcinoma,Small Hepatocellular Carcinoma,Clear Cell Hepatocellular Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
HEAD & NECK SQUAMOUS CELL CARCINOMA,Head and Neck Squamous Cell Carcinoma,Head and Neck Carcinoma,Cutaneous Squamous Cell Carcinoma of the Head and Neck,Head and Neck Sebaceous Carcinoma,Advanced Head and Neck Squamous Cell Carcinoma,0.95,excellent,All key terms present (5/5 terms matched),0.65,moderate,3/5 key terms matched; 60.0% term overlap,0.85,excellent,All key terms present (5/5 terms matched),0.4,fair,3/5 key terms matched; 56.0% term overlap,0.75,good,All key terms present (5/5 terms matched),1,0.95,high_confidence
HEAD & NECK SQUAMOUS CELL CARCINOMA BASALOID TYPE,Head and Neck Basaloid Squamous Cell Carcinoma,Basaloid Squamous Cell Carcinoma,Cervical Basaloid Squamous Cell Carcinoma,Skin Basaloid Squamous Cell Carcinoma,Basaloid Carcinoma,0.85,excellent,6/7 key terms matched; 85.7% term overlap,0.5,moderate,4/7 key terms matched; 57.1% term overlap,0.45,fair,4/7 key terms matched; 54.3% term overlap,0.4,fair,4/7 key terms matched; 54.3% term overlap,0.15,poor,2/7 key terms matched; 28.6% term overlap,1,0.85,high_confidence
HEAD AND NECK CANCER,Head and Neck Carcinoma,Head and Neck Neoplasm,Malignant Head and Neck Neoplasm,Head and Neck Squamous Cell Carcinoma,Head and Neck Neuroendocrine Carcinoma,0.7,good,2/3 key terms matched; 60.0% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.45,fair,2/3 key terms matched; 56.0% term overlap,0.4,fair,2/3 key terms matched; 53.3% term overlap,0.35,fair,2/3 key terms matched; 56.0% term overlap,1,0.7,good_confidence
"HEAD AND NECK CANCER, NOS",Head and Neck Carcinoma,Head and Neck Neoplasm,Malignant Head and Neck Neoplasm,Head and Neck Squamous Cell Carcinoma,Advanced Head and Neck Carcinoma,0.7,good,2/3 key terms matched; 60.0% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.45,fair,2/3 key terms matched; 56.0% term overlap,0.4,fair,2/3 key terms matched; 53.3% term overlap,0.35,fair,2/3 key terms matched; 56.0% term overlap,1,0.7,good_confidence
HEAD AND NECK CARCINOMA,Head and Neck Carcinoma,Head and Neck Neoplasm,Malignant Head and Neck Neoplasm,Head and Neck Squamous Cell Carcinoma,Head and Neck Neuroendocrine Carcinoma,1.0,excellent,Exact match,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.45,fair,2/3 key terms matched; 56.0% term overlap,0.8,good,All key terms present (3/3 terms matched),0.75,good,All key terms present (3/3 terms matched),1,1.0,high_confidence
HEAD AND NECK CARCINOMA OTHER,Head and Neck Carcinoma,Head and Neck Neoplasm,Head and Neck Neuroendocrine Carcinoma,Head and Neck Neuroendocrine Neoplasm,Head and Neck NUT Carcinoma,0.7,good,3/4 key terms matched; 75.0% term overlap,0.5,moderate,2/4 key terms matched; 46.0% term overlap,0.6,moderate,3/4 key terms matched; 69.0% term overlap,0.4,fair,2/4 key terms matched; 43.3% term overlap,0.5,fair,3/4 key terms matched; 69.0% term overlap,1,0.7,good_confidence
"HEAD AND NECK CARCINOMA, OTHER",Head and Neck Carcinoma,Head and Neck Neuroendocrine Carcinoma,Head and Neck Neoplasm,Head and Neck Neuroendocrine Neoplasm,Head and Neck Carcinoma of Unknown Primary,0.7,good,3/4 key terms matched; 75.0% term overlap,0.65,moderate,3/4 key terms matched; 69.0% term overlap,0.45,fair,2/4 key terms matched; 46.0% term overlap,0.4,fair,2/4 key terms matched; 43.3% term overlap,0.5,fair,3/4 key terms matched; 65.0% term overlap,1,0.7,good_confidence
HEAD AND NECK MUCOSAL MELANOMA,Mucosal Melanoma of the Head and Neck,Head and Neck Melanocytic Neoplasm,Mucosal Melanoma,Metastatic Mucosal Melanoma,Mucosal Nodular Melanoma,0.95,excellent,All key terms present (4/4 terms matched),0.5,moderate,2/4 key terms matched; 43.3% term overlap,0.45,fair,2/4 key terms matched; 50.0% term overlap,0.4,fair,2/4 key terms matched; 46.0% term overlap,0.35,fair,2/4 key terms matched; 46.0% term overlap,1,0.95,high_confidence
HEAD AND NECK NEUROENDOCRINE CARCINOMA,Head and Neck Neuroendocrine Carcinoma,Head and Neck Neuroendocrine Neoplasm,Head and Neck Small Cell Neuroendocrine Carcinoma,Head and Neck Neuroendocrine Tumor,Head and Neck Large Cell Neuroendocrine Carcinoma,1.0,excellent,Exact match,0.65,moderate,3/4 key terms matched; 69.0% term overlap,0.85,excellent,All key terms present (4/4 terms matched),0.55,moderate,3/4 key terms matched; 69.0% term overlap,0.75,good,All key terms present (4/4 terms matched),1,1.0,high_confidence
HEAD AND NECK SQUAMOUS,Head and Neck Squamous Cell Carcinoma,Head and Neck Sarcoma,Head and Neck Carcinoma,Head and Neck Sebaceous Carcinoma,Head and Neck Synovial Sarcoma,0.95,excellent,All key terms present (3/3 terms matched),0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.4,fair,2/3 key terms matched; 56.0% term overlap,0.35,fair,2/3 key terms matched; 56.0% term overlap,1,0.95,high_confidence
HEAD AND NECK SQUAMOUS CELL CARCINOMA,Head and Neck Squamous Cell Carcinoma,Head and Neck Carcinoma,Cutaneous Squamous Cell Carcinoma of the Head and Neck,Head and Neck Sebaceous Carcinoma,Advanced Head and Neck Squamous Cell Carcinoma,1.0,excellent,Exact match,0.65,moderate,3/5 key terms matched; 60.0% term overlap,0.85,excellent,All key terms present (5/5 terms matched),0.4,fair,3/5 key terms matched; 56.0% term overlap,0.75,good,All key terms present (5/5 terms matched),1,1.0,high_confidence
HEAD AND NECK SQUAMOUS CELL CARCINOMA OF UNKNOWN PRIMARY,Head and Neck Carcinoma of Unknown Primary,Neck Squamous Cell Carcinoma of Unknown Primary,Squamous Cell Carcinoma of Unknown Primary,Human Papillomavirus-Negative Neck Squamous Cell Carcinoma of Unknown Primary,Human Papillomavirus-Related Neck Squamous Cell Carcinoma of Unknown Primary,0.7,good,5/7 key terms matched; 71.4% term overlap,0.8,good,6/7 key terms matched; 85.7% term overlap,0.6,moderate,5/7 key terms matched; 71.4% term overlap,0.55,moderate,6/7 key terms matched; 75.4% term overlap,0.5,fair,6/7 key terms matched; 75.4% term overlap,2,0.8,good_confidence
HEAD AND NECK SQUAMOUS CELL CARCINOMAÃƒÅ ,Head and Neck Squamous Cell Carcinoma,Unresectable Head and Neck Squamous Cell Carcinoma,Advanced Head and Neck Squamous Cell Carcinoma,Head and Neck Carcinoma,Resectable Head and Neck Squamous Cell Carcinoma,0.7,good,4/5 key terms matched; 74.7% term overlap,0.65,moderate,4/5 key terms matched; 70.9% term overlap,0.6,moderate,4/5 key terms matched; 70.9% term overlap,0.2,poor,2/5 key terms matched; 37.3% term overlap,0.5,fair,4/5 key terms matched; 70.9% term overlap,1,0.7,good_confidence
HEAD_NECK_CANCER,Head and Neck Carcinoma,Head and Neck Neoplasm,Malignant Head and Neck Neoplasm,Head and Neck Neuroendocrine Carcinoma,Head and Neck Neuroendocrine Neoplasm,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
HEMANGIOBLASTOMA,Hemangioblastoma,Hemangioma,Cerebral Hemangioblastoma,Medullary Hemangioblastoma,Peripheral Hemangioblastoma,1.0,excellent,Exact match,0.15,poor,No key term overlap - likely poor match,0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,1.0,high_confidence
HEMANGIOMA,Hemangioma,Skin Hemangioma,Hemangioblastoma,Venous Hemangioma,Capillary Hemangioma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.1,poor,No key term overlap - likely poor match,0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,1.0,high_confidence
