original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top1_accuracy,top3_accuracy,top5_accuracy
LUNG ADENOCARCINOMA- NOT OTHERWISE SPECIFIED NOS,Lung Adenocarcinoma,1,2,Lung Adenocarcinoma,0.8816,Lung Carcinoma,0.7979,Advanced Lung Adenocarcinoma,0.7884,Lung Acinar Adenocarcinoma,0.7670,Solid Lung Adenocarcinoma,0.7514,True,True,True
LUNG ADENOSQUAMOUS CARCINOMA,Lung Adenosquamous Carcinoma,1,2,Lung Adenosquamous Carcinoma,1.0000,Adenosquamous Carcinoma,0.9060,Occult Lung Adenosquamous Carcinoma,0.9026,Advanced Lung Adenosquamous Carcinoma,0.8922,Metastatic Lung Adenosquamous Carcinoma,0.8758,True,True,True
LUNG BRONCHIOLOALVEOLAR CARCINOMA MUCINOUS,Lung Mucinous Adenocarcinoma,99,2,Invasive Lung Mucinous Adenocarcinoma,0.8175,Minimally Invasive Lung Mucinous Adenocarcinoma,0.8174,Lung Mucinous Cystadenoma,0.8016,Bladder Mucinous Adenocarcinoma,0.7999,Breast Mucinous Carcinoma,0.7908,False,False,False
LUNG BRONCHIOLOALVEOLAR CARCINOMA NONMUCINOUS,Lung Non-Mucinous Adenocarcinoma,99,2,Invasive Lung Non-Mucinous Adenocarcinoma,0.7424,Minimally Invasive Lung Non-Mucinous Adenocarcinoma,0.7408,Lung Adenocarcinoma with Mixed Bronchioloalveolar and Invasive Components,0.7392,Lung Non-Mucinous Adenocarcinoma In Situ,0.7207,Lung Non-Small Cell Carcinoma,0.7001,False,False,False
LUNG CANCER,Lung Carcinoma,1,2,Lung Carcinoma,0.9492,Lung Neoplasm,0.8781,Malignant Lung Neoplasm,0.8747,Lung Adenocarcinoma,0.8723,Occult Lung Carcinoma,0.8224,True,True,True
"LUNG CANCER, NOS",Lung Carcinoma,1,2,Lung Carcinoma,0.9014,Malignant Lung Neoplasm,0.8401,Lung Neoplasm,0.8348,Lung Adenocarcinoma,0.8037,Advanced Lung Carcinoma,0.7595,True,True,True
LUNG CARCINOID,Lung Carcinoid Tumor,99,2,Laryngeal Carcinoid Tumor,0.8302,Lung Carcinosarcoma,0.8252,Lung Neuroendocrine Tumor,0.7999,Lung Neuroendocrine Carcinoma,0.7989,Lung Neuroendocrine Neoplasm,0.7754,False,False,False
LUNG MICROPAPILLARY ADENOCARCINOMA,Lung Micropapillary Adenocarcinoma,1,2,Lung Micropapillary Adenocarcinoma,1.0000,Micropapillary Carcinoma,0.8546,Colon Micropapillary Adenocarcinoma,0.8417,Cervical Micropapillary Adenocarcinoma,0.8303,Colorectal Micropapillary Adenocarcinoma,0.8237,True,True,True
LUNG MUCINOUS ADENOCARCINOMA,Lung Colloid Adenocarcinoma,5,2,Invasive Lung Mucinous Adenocarcinoma,0.9160,Minimally Invasive Lung Mucinous Adenocarcinoma,0.8818,Mucinous Adenocarcinoma,0.8779,Lung Mucinous Cystadenoma,0.8612,Lung Colloid Adenocarcinoma,0.8487,False,False,True
LUNG NEUROENDOCRINE,Lung Carcinoid Tumor,99,2,Lung Neuroendocrine Neoplasm,0.9127,Lung Neuroendocrine Tumor,0.8935,Lung Neuroendocrine Carcinoma,0.8612,Functioning Lung Neuroendocrine Tumor,0.8435,Low Grade Lung Neuroendocrine Neoplasm,0.8214,False,False,False
LUNG NEUROENDOCRINE TUMOR,Lung Carcinoid Tumor,99,2,Lung Neuroendocrine Tumor,1.0000,Lung Neuroendocrine Neoplasm,0.9692,Functioning Lung Neuroendocrine Tumor,0.9069,Advanced Lung Neuroendocrine Tumor,0.8871,Lung Neuroendocrine Carcinoma,0.8871,False,False,False
LUNG PAPILLARY ADENOCARCINOMA,Lung Papillary Adenocarcinoma,1,2,Lung Papillary Adenocarcinoma,1.0000,Lung Papillary Adenoma,0.8859,Papillary Adenocarcinoma,0.8694,Lung Adenocarcinoma,0.8297,Lung Acinar Adenocarcinoma,0.8009,True,True,True
LUNG SQUAMOUS CELL CARCINOMA,Lung Squamous Cell Carcinoma,1,2,Lung Squamous Cell Carcinoma,1.0000,Lung Non-Small Cell Squamous Carcinoma,0.8854,Lung Non-Keratinizing Squamous Cell Carcinoma,0.8398,Advanced Lung Squamous Cell Carcinoma,0.8279,"Lung Squamous Cell Carcinoma, Small Cell Variant",0.8245,True,True,True
LUNG_CANCER,Lung Carcinoma,1,2,Lung Carcinoma,0.8957,Malignant Lung Neoplasm,0.8272,Lung Neoplasm,0.8191,Lung Adenocarcinoma,0.8159,Occult Lung Carcinoma,0.7817,True,True,True
LUNG_CARCINOID,Lung Carcinoid Tumor,99,2,Lung Carcinosarcoma,0.7976,Laryngeal Carcinoid Tumor,0.7955,Lung Neuroendocrine Tumor,0.7569,Lung Neuroendocrine Carcinoma,0.7542,Lung Neuroendocrine Neoplasm,0.7414,False,False,False
LUNG_CARCINOMA,Lung Carcinoma,1,2,Lung Carcinoma,0.9577,Lung Adenocarcinoma,0.8604,Malignant Lung Neoplasm,0.8218,Advanced Lung Carcinoma,0.7999,Lung Non-Small Cell Carcinoma,0.7935,True,True,True
LUNG_NSC,Lung Non-Small Cell Carcinoma,2,2,Lung Carcinoma,0.7021,Lung Non-Small Cell Carcinoma,0.6979,Lung Neoplasm,0.6954,Lung Lymphoma,0.6884,Benign Lung Neoplasm,0.6880,False,True,True
LUNG_SMALL_CELL,Lung Small Cell Carcinoma,1,2,Lung Small Cell Carcinoma,0.8646,"Lung Small Cell Carcinoma, A Subtype",0.8241,Lung Small Cell Carcinoma Molecular Subtypes,0.8108,Occult Lung Small Cell Carcinoma,0.7910,"Lung Squamous Cell Carcinoma, Small Cell Variant",0.7774,True,True,True
LUSC,Lung Squamous Cell Carcinoma,99,2,Superior Sulcus Lung Carcinoma,0.6646,Occult Lung Squamous Cell Carcinoma,0.6601,Occult Lung Carcinoma,0.6500,Laryngeal Undifferentiated Carcinoma,0.6420,Occult Lung Large Cell Carcinoma,0.6294,False,False,False
"LYMPHATIC CANCER, NOS",Lymphoma,99,2,Lymphatic Vessel Neoplasm,0.7034,Lymphangitic Carcinomatosis,0.6987,Hematopoietic and Lymphatic System Neoplasm,0.6837,Lymphocytic Neoplasm,0.6710,Lymphangioma,0.6348,False,False,False
LYMPHOBLASTIC LYMPHOMA,Lymphoblastic Lymphoma,1,2,Lymphoblastic Lymphoma,1.0000,B Lymphoblastic Lymphoma,0.8880,Childhood Lymphoblastic Lymphoma,0.8818,Chronic Lymphoblastic Lymphoma,0.8597,Lymphoid Leukemia,0.8346,True,True,True
LYMPHOBLASTIC_LYMPHOMA,Lymphoblastic Lymphoma,1,2,Lymphoblastic Lymphoma,0.9670,B Lymphoblastic Lymphoma,0.8658,Childhood Lymphoblastic Lymphoma,0.8466,Chronic Lymphoblastic Lymphoma,0.8235,B Lymphoblastic Leukemia/Lymphoma,0.8006,True,True,True
LYMPHOEPITHELIOMA-LIKE CARCINOMA OF THE LUNG,Lung Lymphoepithelial Carcinoma,1,2,Lung Lymphoepithelial Carcinoma,0.9445,Laryngeal Lymphoepithelial Carcinoma,0.7952,Cervical Lymphoepithelioma-Like Carcinoma,0.7786,Lung Epithelial-Myoepithelial Carcinoma,0.7778,Sinonasal Lymphoepithelial Carcinoma,0.7565,True,True,True
LYMPHOID CANCER,Lymphoma,3,2,Lymphocytic Neoplasm,0.8482,Lymphoid Leukemia,0.8020,Lymphoma,0.7812,Lymphoblastic Lymphoma,0.7524,Composite Lymphoma,0.7449,False,True,True
LYMPHOID NEOPLASM,Lymphocytic Neoplasm,1,2,Lymphocytic Neoplasm,0.9095,Precursor Lymphoid Neoplasm,0.8168,Lymph Node Neoplasm,0.8091,Lymphoma,0.7969,Lymphoid Leukemia,0.7647,True,True,True
LYMPHOMA,Lymphoma,1,2,Lymphoma,1.0000,Composite Lymphoma,0.8500,Diffuse Malignant Lymphoma,0.8050,Lymphoblastic Lymphoma,0.8015,Lymphoma by Site,0.7986,True,True,True
LYMPHOMA_BURKITT,Burkitt Lymphoma,1,2,Burkitt Lymphoma,0.9504,Classical Burkitt Lymphoma,0.9076,Burkitt Leukemia,0.9024,Non-Burkitt's Lymphoma,0.8653,Sporadic Burkitt Lymphoma,0.8642,True,True,True
LYMPHOMA_DLBCL,Diffuse Large B-Cell Lymphoma,1,2,Diffuse Large B-Cell Lymphoma,0.8126,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified",0.7959,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified Molecular Subtypes",0.7738,EZB Diffuse Large B-Cell Lymphoma,0.7602,Diffuse Malignant Lymphoma,0.7575,True,True,True
LYMPHOMA_HODGKIN,Hodgkin Lymphoma,1,2,Hodgkin Lymphoma,0.9261,Classic Hodgkin Lymphoma,0.8651,Hodgkin Lymphoma by Clinical Course,0.8305,Hodgkin's Sarcoma,0.7973,Cerebral Hodgkin Lymphoma,0.7929,True,True,True
LYMPHOMA_UNSPECIFIED,Lymphoma,1,2,Lymphoma,0.8487,Diffuse Malignant Lymphoma,0.7575,Lymphoma by Site,0.7317,Composite Lymphoma,0.7054,Lymphoma by Stage,0.7015,True,True,True
M0,Acute Myeloid Leukemia with Minimal Differentiation,99,2,Stage M0 Medulloblastoma,0.6989,Stage M0 Pineoblastoma,0.6460,Clinical Stage 0 Cutaneous Melanoma AJCC v8,0.6299,Stage M0 Childhood Medulloblastoma by Toronto Guidelines v2,0.6174,Pathologic Stage 0 Cutaneous Melanoma AJCC v8,0.6135,False,False,False
M2,Acute Myeloid Leukemia with Maturation,99,2,Grade 2 Meningioma,0.6576,Stage M2 Medulloblastoma,0.6546,Cutaneous Malignant Melanoma 2,0.6455,Meningioma,0.6297,Minimal Deviation Melanoma,0.6177,False,False,False
M3,Acute Promyelocytic Leukemia with PML-RARA,99,2,Stage M3 Medulloblastoma,0.6860,Grade 3 Meningioma,0.6771,Grade 3 Malignant Neoplasm,0.6670,Meningioma,0.6358,Grade 3a Malignant Neoplasm,0.6341,False,False,False
M4,Acute Myelomonocytic Leukemia,99,2,Stage M4 Medulloblastoma,0.6769,Metastatic Melanoma,0.6370,Multiple Myeloma,0.6343,Meningioma,0.6310,Ann Arbor Stage IV Lymphoma,0.6184,False,False,False
M5,Acute Monoblastic and Monocytic Leukemia,99,2,Acute Monocytic Leukemia,0.6510,Myeloid Leukemia,0.6436,Melanoma,0.6392,Acute Myelomonocytic Leukemia,0.6336,Meningioma,0.6213,False,False,False
M5A,Acute Monoblastic and Monocytic Leukemia,3,2,Acute Monocytic Leukemia,0.6603,Acute Myelomonocytic Leukemia,0.6414,Acute Monoblastic and Monocytic Leukemia,0.6359,Acute Monoblastic Leukemia,0.6269,Childhood Acute Monocytic Leukemia,0.6260,False,True,True
M6,Acute Erythroid Leukemia,99,2,Meningioma,0.5989,Malignant Mesothelioma,0.5738,Melanoma,0.5712,Mucosal Melanoma,0.5642,Biphasic Mesothelioma,0.5631,False,False,False
M7,Acute Megakaryoblastic Leukemia,99,2,ROSE Cluster 7,0.5980,Melanoma,0.5517,Nasopharyngeal Melanoma,0.5298,Mucosal Melanoma,0.5293,Meningioma,0.5288,False,False,False
MALIGNANT AMELANOTIC MELANOMA,Amelanotic Melanoma,1,2,Amelanotic Melanoma,0.9473,Amelanotic Cutaneous Melanoma,0.9387,Cutaneous Melanoma,0.7223,Dermal Melanoma,0.6991,Anal Melanoma,0.6960,True,True,True
MALIGNANT FIBROUS HISTIOCYTOMA,Undifferentiated Pleomorphic Sarcoma,99,2,Fibrous Histiocytoma,0.8927,Fibrous Histiocytoma of Bone,0.8345,Skin Fibrous Histiocytoma,0.8218,Deep Fibrous Histiocytoma,0.8199,Inflammatory Malignant Fibrous Histiocytoma NCI Grade 3,0.8111,False,False,False
MALIGNANT FIBROUS HISTIOCYTOMA-PLEOMORPHIC SARCOMA,Undifferentiated Pleomorphic Sarcoma,1,2,Undifferentiated Pleomorphic Sarcoma,0.8108,Storiform-Pleomorphic Malignant Fibrous Histiocytoma NCI Grade 2,0.7850,Storiform-Pleomorphic Malignant Fibrous Histiocytoma NCI Grade 3,0.7803,Undifferentiated High Grade Pleomorphic Sarcoma of Bone,0.7776,Pleomorphic Rhabdomyosarcoma,0.7592,True,True,True
MALIGNANT LYMPHOMA,Lymphoma,1,2,Lymphoma,0.9154,Diffuse Malignant Lymphoma,0.8671,Composite Lymphoma,0.7942,"Malignant Lymphoma, Large Cell Type",0.7689,Lymphocytic Neoplasm,0.7664,True,True,True
MALIGNANT MELANOMA,Melanoma,1,2,Melanoma,0.9261,Cutaneous Melanoma,0.8847,Dermal Melanoma,0.8282,Ocular Melanoma,0.7878,Retinal Melanoma,0.7785,True,True,True
MALIGNANT MELANOTIC MELANOMA,Melanoma,3,2,Cutaneous Melanoma,0.8166,Melanocytic Neoplasm,0.7877,Melanoma,0.7862,Skin Melanocytic Neoplasm,0.7817,Melanocytic Nevus,0.7691,False,True,True
MALIGNANT MIXED MULLERIAN TUMOR MMMT,Malignant Mixed Mesodermal (Mullerian) Tumor,1,2,Malignant Mixed Mesodermal (Mullerian) Tumor,0.9244,Mixed Mesodermal (Mullerian) Tumor,0.8723,Metastatic Malignant Mixed Mesodermal (Mullerian) Tumor,0.8360,Advanced Malignant Mixed Mesodermal (Mullerian) Tumor,0.7920,Malignant Uterine Corpus Mixed Epithelial and Mesenchymal Neoplasm,0.7654,True,True,True
MALIGNANT PERIPHERAL NERVE SHEATH TUMOR,Malignant Peripheral Nerve Sheath Tumor,1,2,Malignant Peripheral Nerve Sheath Tumor,1.0000,Sporadic Malignant Peripheral Nerve Sheath Tumor,0.9272,Bone Malignant Peripheral Nerve Sheath Tumor,0.9066,Adult Malignant Peripheral Nerve Sheath Tumor,0.9064,Advanced Malignant Peripheral Nerve Sheath Tumor,0.9046,True,True,True
MALIGNANT PERIPHERAL NERVE SHEATH TUMORS MPNST,Malignant Peripheral Nerve Sheath Tumor,1,2,Malignant Peripheral Nerve Sheath Tumor,0.8725,Sporadic Malignant Peripheral Nerve Sheath Tumor,0.8546,High Grade Malignant Peripheral Nerve Sheath Tumor,0.8354,Low Grade Malignant Peripheral Nerve Sheath Tumor,0.8349,Bone Malignant Peripheral Nerve Sheath Tumor,0.8236,True,True,True
MALIGNANT PHYLLODES TUMOR OF THE BREAST,Malignant Breast Phyllodes Tumor,1,2,Malignant Breast Phyllodes Tumor,0.9758,Malignant Phyllodes Tumor,0.9188,Breast Phyllodes Tumor,0.9018,Malignant Prostate Phyllodes Tumor,0.8582,Borderline Breast Phyllodes Tumor,0.8495,True,True,True
MALIGNANT PT,Malignant Breast Phyllodes Tumor,99,2,Malignant Neoplasm,0.8014,Primary Malignant Neoplasm,0.7864,Malignant Prostate Neoplasm,0.7227,Malignant Pancreatic Neoplasm,0.7224,Malignant Parathyroid Gland Neoplasm,0.7194,False,False,False
MALIGNANT RHABDOID TUMOR,Rhabdoid Tumor,1,2,Rhabdoid Tumor,0.9414,Metastatic Rhabdoid Tumor,0.9013,Advanced Rhabdoid Tumor,0.8953,Rhabdoid Meningioma,0.8763,Refractory Rhabdoid Tumor,0.8631,True,True,True
MALIGNANT SACROCOCCYGEAL TERATOMA,Sacrococcygeal Teratoma,1,2,Sacrococcygeal Teratoma,0.9282,Malignant Teratoma,0.6980,Malignant Coccygeal Body Neoplasm,0.6930,Gonadal Teratoma,0.6710,Coccygeal Body Neoplasm,0.6497,True,True,True
MALIGNANT SMALL CELL TUMOR,"Malignant Tumor, Small Cell Type",1,2,"Malignant Tumor, Small Cell Type",0.9619,Small Cell Adenocarcinoma,0.8227,Small Cell Intermediate Cell Carcinoma,0.7589,Small Cell Sarcoma,0.7539,Lung Small Cell Carcinoma,0.7434,True,True,True
MALIGNANT TUMOR,Malignant Neoplasm,1,2,Malignant Neoplasm,0.9864,Primary Malignant Neoplasm,0.8426,Malignant Bone Neoplasm,0.8104,Malignant Solid Neoplasm,0.7976,Advanced Malignant Neoplasm,0.7795,True,True,True
MALIGNANT_FIBROUS_HISTIOCYTOMA,Undifferentiated Pleomorphic Sarcoma,99,2,Fibrous Histiocytoma,0.8650,Fibrous Histiocytoma of Bone,0.8190,Skin Fibrous Histiocytoma,0.8006,Angiomatoid Fibrous Histiocytoma,0.8002,Inflammatory Malignant Fibrous Histiocytoma NCI Grade 3,0.7893,False,False,False
MALIGNANT_MELANOMA,Melanoma,1,2,Melanoma,0.8890,Cutaneous Melanoma,0.8570,Dermal Melanoma,0.7972,Non-Cutaneous Melanoma,0.7766,Mucosal Melanoma,0.7711,True,True,True
MALIGNANT_PAPILLARY_SEROUS_ADENOCARCINOMA,Papillary Serous Cystadenocarcinoma,1,2,Papillary Serous Cystadenocarcinoma,0.8100,Serous Adenocarcinoma,0.8065,Primary Peritoneal Serous Adenocarcinoma,0.8039,Ovarian Serous Surface Papillary Adenocarcinoma,0.7894,Serous Surface Papillary Carcinoma,0.7891,True,True,True
MALIGNANT_RHABDOID_TUMOR,Rhabdoid Tumor,1,2,Rhabdoid Tumor,0.9029,Metastatic Rhabdoid Tumor,0.8767,Advanced Rhabdoid Tumor,0.8596,Unresectable Rhabdoid Tumor,0.8342,Refractory Rhabdoid Tumor,0.8338,True,True,True
MAMMARY ANALOGUE SECRETORY CARCINOMA OF SALIVARY GLAND ORIGIN,Salivary Gland Secretory Carcinoma,1,2,Salivary Gland Secretory Carcinoma,0.8508,Salivary Gland Microsecretory Adenocarcinoma,0.7978,Salivary Gland Mucinous Adenocarcinoma,0.7923,Metastatic Salivary Gland Secretory Carcinoma,0.7831,Salivary Gland Epithelial-Myoepithelial Carcinoma,0.7827,True,True,True
MANTLE CELL LYMPHOMA,Mantle Cell Lymphoma,1,2,Mantle Cell Lymphoma,1.0000,Cutaneous Mantle Cell Lymphoma,0.8767,Colorectal Mantle Cell Lymphoma,0.8539,Gastric Mantle Cell Lymphoma,0.8507,Colon Mantle Cell Lymphoma,0.8497,True,True,True
MANTLE_CELL_LYMPHOMA,Mantle Cell Lymphoma,1,2,Mantle Cell Lymphoma,0.9457,Cutaneous Mantle Cell Lymphoma,0.8368,Colorectal Mantle Cell Lymphoma,0.8010,Gastric Mantle Cell Lymphoma,0.8003,Colon Mantle Cell Lymphoma,0.7831,True,True,True
MARGINAL ZONE LYMPHOMA,Marginal Zone Lymphoma,1,2,Marginal Zone Lymphoma,1.0000,Nodal Marginal Zone Lymphoma,0.9419,Advanced Marginal Zone Lymphoma,0.9089,Splenic Marginal Zone Lymphoma,0.8783,Refractory Marginal Zone Lymphoma,0.8605,True,True,True
MASKED LOW HYPODIPLOID,B Lymphoblastic Leukemia/Lymphoma with Hypodiploidy,99,2,Hypodiploid B Lymphoblastic Leukemia/Lymphoma,0.6965,Hypodiploid B Acute Lymphoblastic Leukemia,0.6848,Low-Hypodiploid B Acute Lymphoblastic Leukemia,0.6807,Hypoplastic Myelodysplastic Syndrome,0.6460,Myelodysplastic Syndrome with Low Blasts,0.6172,False,False,False
MASTOCYTOSIS,Mastocytosis,1,2,Mastocytosis,1.0000,Malignant Mastocytosis,0.9097,Systemic Mastocytosis,0.8943,Cutaneous Mastocytosis,0.8625,Bone Marrow Mastocytosis,0.8584,True,True,True
MATURE B-CELL LYMPHOMA,Mature B-Cell Non-Hodgkin Lymphoma,2,2,Mature B-Cell Neoplasm,0.8973,Mature B-Cell Non-Hodgkin Lymphoma,0.8964,Monoclonal B-Cell Lymphocytosis,0.8280,B-Cell Malignant Neoplasm,0.7876,Transformed Marginal Zone Lymphoma to Diffuse Large B-Cell Lymphoma,0.7808,False,True,True
MATURE B-CELL NEOPLASMS,Mature B-Cell Neoplasm,1,2,Mature B-Cell Neoplasm,0.9917,B-Cell Neoplasm,0.8653,Mature B-Cell Non-Hodgkin Lymphoma,0.8442,B-Cell Malignant Neoplasm,0.8358,Cutaneous Mature B-Cell Neoplasm,0.8149,True,True,True
MATURE T AND NK NEOPLASMS,Mature T-Cell and NK-Cell Neoplasm,1,2,Mature T-Cell and NK-Cell Neoplasm,0.9446,T-Cell and NK-Cell Neoplasm,0.8702,Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma,0.8427,Cutaneous Mature T-Cell and NK-Cell Neoplasm,0.8210,Central Nervous System Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma,0.7970,True,True,True
MATURE TERATOMA,Mature Teratoma,1,2,Mature Teratoma,1.0000,Childhood Mature Teratoma,0.9298,Adult Teratoma,0.9118,Central Nervous System Mature Teratoma,0.9104,Teratoma,0.9093,True,True,True
MBL,Medulloblastoma,99,2,Meningioma,0.6274,Monoclonal B-Cell Lymphocytosis,0.6226,Mediastinal Lymphoma,0.6009,Mediastinal Neuroblastoma,0.5891,Benign Meningioma,0.5846,False,False,False
MCRC METASTASIS,Metastatic Colorectal Carcinoma,2,2,Metastatic Malignant Colorectal Neoplasm,0.7538,Metastatic Colorectal Carcinoma,0.7504,Metastatic Carcinoma,0.7192,Colorectal Medullary Carcinoma,0.7078,Metastatic Colorectal Adenocarcinoma,0.6966,False,True,True
MDS,Myelodysplastic Syndrome,1,2,Myelodysplastic Syndrome,0.8062,Hereditary Myelodysplastic Syndrome,0.7522,Myelodysplastic Syndrome with Somatic Mutation,0.7462,"Myelodysplastic Syndrome, Not Otherwise Specified",0.7352,Secondary Myelodysplastic Syndrome,0.7233,True,True,True
MDS WITH EXCESS BLASTS,Myelodysplastic Syndrome with Excess Blasts,1,2,Myelodysplastic Syndrome with Excess Blasts,0.9421,Myelodysplastic Syndrome with Excess Blasts and Fibrosis,0.8508,Childhood Myelodysplastic Syndrome with Excess Blasts,0.8429,Myelodysplastic Syndrome with Low Blasts,0.7694,"Myelodysplastic Syndrome, Unclassifiable, with 1 Percent Blasts",0.6768,True,True,True
MDS WITH EXCESS BLASTS-2,Myelodysplastic Syndrome with Excess Blasts-2,99,2,Myelodysplastic Syndrome with Excess Blasts,0.8069,Myelodysplastic Syndrome with Excess Blasts and Fibrosis,0.7561,Childhood Myelodysplastic Syndrome with Excess Blasts,0.7268,Myelodysplastic Syndrome with Low Blasts,0.6596,Childhood Myelodysplastic Syndrome with Low Blasts,0.5876,False,False,False
MDS WITH ISOLATED DEL5Q,Myelodysplastic Syndrome with Isolated del(5q),99,2,Myelodysplastic Syndrome with del(5q),0.8108,Acute Myeloid Leukemia with del(5q),0.6961,Myelodysplastic Syndrome with TP53 Inactivation,0.6409,Myelodysplastic/Myeloproliferative Neoplasm with Isolated Isochromosome 17q,0.6034,Myelodysplastic Syndrome with Low Blasts,0.6011,False,False,False
MDS WITH MULTILINEAGE DYSPLASIA,Myelodysplastic Syndrome with Multilineage Dysplasia,99,2,"Myelodysplastic Syndrome, Not Otherwise Specified with Multilineage Dysplasia",0.8931,Acute Myeloid Leukemia with Multilineage Dysplasia,0.8369,"Myelodysplastic Syndrome, Not Otherwise Specified with Single Lineage Dysplasia",0.7781,Myelodysplastic Syndrome,0.7448,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,0.7244,False,False,False
MDS WITH RING SIDEROBLASTS,Myelodysplastic Syndrome with Ring Sideroblasts,1,2,Myelodysplastic Syndrome with Ring Sideroblasts,0.9425,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,0.8001,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,0.7945,Refractory Myelodysplastic Syndrome,0.6973,"Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified",0.6778,True,True,True
MDS WITH RING SIDEROBLASTS AND MULTILINEAGE DYSPLASIA,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,1,2,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,0.9670,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,0.8876,Myelodysplastic Syndrome with Ring Sideroblasts,0.8107,Refractory Myelodysplastic Syndrome,0.7170,"Myelodysplastic Syndrome, Not Otherwise Specified with Multilineage Dysplasia",0.7051,True,True,True
MDS WITH RING SIDEROBLASTS AND SINGLE LINEAGE DYSPLASIA,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,1,2,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,0.9661,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,0.8965,Myelodysplastic Syndrome with Ring Sideroblasts,0.8209,"Myelodysplastic Syndrome, Not Otherwise Specified with Single Lineage Dysplasia",0.7260,Refractory Myelodysplastic Syndrome,0.7162,True,True,True
MDS WITH SINGLE LINEAGE DYSPLASIA,Myelodysplastic Syndrome with Single Lineage Dysplasia,99,2,"Myelodysplastic Syndrome, Not Otherwise Specified with Single Lineage Dysplasia",0.9100,"Myelodysplastic Syndrome, Unclassifiable, with Single Lineage Dysplasia",0.8718,"Myelodysplastic Syndrome, Not Otherwise Specified with Multilineage Dysplasia",0.8055,Myelodysplastic Syndrome with Somatic Mutation,0.7459,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,0.7291,False,False,False
"MDS, UNCLASSIFIABLE","Myelodysplastic Syndrome, Unclassifiable",1,2,"Myelodysplastic Syndrome, Unclassifiable",0.9086,"Myelodysplastic Syndrome, Unclassifiable, with Defining Cytogenetic Abnormality",0.8453,"Myelodysplastic Syndrome, Unclassifiable, with Single Lineage Dysplasia",0.7474,Clonal Monocytosis of Undetermined Significance,0.7190,"Myelodysplastic Syndrome, Unclassifiable, with 1 Percent Blasts",0.7034,True,True,True
MDS-U,"Myelodysplastic Syndrome, Unclassifiable",1,2,"Myelodysplastic Syndrome, Unclassifiable",0.8033,"Myelodysplastic Syndrome, Unclassifiable, with Defining Cytogenetic Abnormality",0.7342,"Myelodysplastic Syndrome, Unclassifiable, with Single Lineage Dysplasia",0.6946,de novo Myelodysplastic Syndrome,0.6725,Myelodysplastic Syndrome with Somatic Mutation,0.6666,True,True,True
MDS/MPN WITH RING SIDEROBLASTS AND THROMBOCYTOSIS,Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis,99,2,"Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified",0.9054,Myelodysplastic Syndrome with Ring Sideroblasts,0.7682,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,0.7595,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,0.7400,Myelodysplastic/Myeloproliferative Neoplasm with SF3B1 Mutation and Thrombocytosis,0.7153,False,False,False
"MDS/MPN, UNCLASSIFIABLE","Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable",99,2,"Myelodysplastic Syndrome, Unclassifiable",0.8896,"Myelodysplastic Syndrome, Unclassifiable, with Defining Cytogenetic Abnormality",0.8401,"Myelodysplastic Syndrome, Unclassifiable, with Single Lineage Dysplasia",0.7528,Clonal Monocytosis of Undetermined Significance,0.7391,Clonal Cytopenia with Monocytosis of Undetermined Significance,0.7191,False,False,False
MDSMPN,Myelodysplastic/Myeloproliferative Neoplasm,1,2,Myelodysplastic/Myeloproliferative Neoplasm,0.7088,Myeloproliferative Neoplasm,0.6775,"Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified",0.6536,Myelodysplastic Syndrome,0.6056,"Myeloproliferative Neoplasm, Not Otherwise Specified",0.6009,True,True,True
