"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db","...5","...6","...7"
"PAPILLARY, TALL CELL VARIANT","Tall Cell Variant Thyroid Gland Papillary Carcinoma","NCIT:C35558","NCIT",NA,NA,NA
"TALL CELL VARIANT  PHENOTYPE CHANGED AFTER CONSENSUS UPSTAGED T","Tall Cell Variant Thyroid Gland Papillary Carcinoma","NCIT:C35558","NCIT",NA,NA,NA
"TALL CELL","Tall Cell Variant Thyroid Gland Papillary Carcinoma","NCIT:C35558","NCIT",NA,NA,NA
"BRAIN CANCER","Malignant Brain Neoplasm","NCIT:C3568","NCIT",NA,NA,NA
"BRAIN_CANCER","Malignant Brain Neoplasm","NCIT:C3568","NCIT",NA,NA,NA
"COLUMNAR CELL VARIANT","Columnar Cell Variant Thyroid Gland Papillary Carcinoma","NCIT:C35830","NCIT",NA,NA,NA
"HEAD AND NECK CARCINOMA","Head and Neck Carcinoma","NCIT:C35850","NCIT",NA,NA,NA
"HEAD_NECK_CANCER","Head and Neck Carcinoma","NCIT:C35850","NCIT",NA,NA,NA
"NODULAR","Nodular Neoplasm","NCIT:C36012","NCIT",NA,NA,NA
"UNDIFFERENTIATED MALIGNANT NEOPLASM","Undifferentiated Malignant Neoplasm","NCIT:C36051","NCIT",NA,NA,NA
"CHRONIC MYELOMONOCYTIC LEUKEMIA 1","Chronic Myelomonocytic Leukemia-1","NCIT:C36061","NCIT",NA,NA,NA
"CHRONIC MYELOMONOCYTIC LEUKEMIA 2","Chronic Myelomonocytic Leukemia-2","NCIT:C36062","NCIT",NA,NA,NA
"ROSAI-DORFMAN DISEASE","Rosai-Dorfman Disease","NCIT:C36075","NCIT",NA,NA,NA
"CHOLANGIOCARCINOMA; HILAR/PERIHILAR","Hilar Cholangiocarcinoma","NCIT:C36077","NCIT",NA,NA,NA
"PERIHILAR CHOLANGIOCARCINOMA","Hilar Cholangiocarcinoma","NCIT:C36077","NCIT",NA,NA,NA
"GERMINAL CENTER B-CELL-LIKE GCB DLBCL","Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type","NCIT:C36080","NCIT",NA,NA,NA
"GERMINAL CENTER B-CELL TYPE","Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type","NCIT:C36080","NCIT",NA,NA,NA
"ACTIVATED B-CELL TYPE","Diffuse Large B-Cell Lymphoma Activated B-Cell Type","NCIT:C36081","NCIT",NA,NA,NA
"PH+-ALL","B Acute Lymphoblastic Leukemia with t(9<;>22)(q34.1<;>q11.2)<;> BCR-ABL1","NCIT:C36312","NCIT",NA,NA,NA
"BENIGN_NEOPLASIA","Benign Neoplasm","NCIT:C3677","NCIT",NA,NA,NA
"BASAL CELL ADENOCARCINOMA","Salivary Gland Basal Cell Adenocarcinoma","NCIT:C3678","NCIT",NA,NA,NA
"GOBLET CELL CARCINOID OF THE APPENDIX","Appendix Goblet Cell Adenocarcinoma","NCIT:C3689","NCIT",NA,NA,NA
"UNDIFFERENTIATED CARCINOMA","Undifferentiated Carcinoma","NCIT:C3692","NCIT",NA,NA,NA
"UNDIFFERENTIATED_CARCINOMA","Undifferentiated Carcinoma","NCIT:C3692","NCIT",NA,NA,NA
"ATYPICAL NEVUS","Dysplastic Nevus","NCIT:C3694","NCIT",NA,NA,NA
"MYXOPAPILLARY EPENDYMOMA","Myxopapillary Ependymoma","NCIT:C3697","NCIT",NA,NA,NA
"CHOROID PLEXUS PAPILLOMA","Choroid Plexus Papilloma","NCIT:C3698","NCIT",NA,NA,NA
"DEDIFFERENTIATED LIPOSARCOMA","Dedifferentiated Liposarcoma","NCIT:C3704","NCIT",NA,NA,NA
"SARC_DDLPS","Dedifferentiated Liposarcoma","NCIT:C3704","NCIT",NA,NA,NA
"PLEOMORPHIC LIPOSARCOMA","Pleomorphic Liposarcoma","NCIT:C3705","NCIT",NA,NA,NA
"GERM CELL TUMOR","Germ Cell Tumor","NCIT:C3708","NCIT",NA,NA,NA
"EPITHELIOID SARCOMA","Epithelioid Sarcoma","NCIT:C3714","NCIT",NA,NA,NA
"EPITHELIOID_SARCOMA","Epithelioid Sarcoma","NCIT:C3714","NCIT",NA,NA,NA
"NEUROEPITHELIOMA","Primitive Neuroectodermal Tumor","NCIT:C3716","NCIT",NA,NA,NA
"PRIMITIVE NEUROECTODERMAL TUMOR","Primitive Neuroectodermal Tumor","NCIT:C3716","NCIT",NA,NA,NA
"PRIMITIVE NEUROECTODERMAL TUMOR PNET","Primitive Neuroectodermal Tumor","NCIT:C3716","NCIT",NA,NA,NA
"PNET","Primitive Neuroectodermal Tumor","NCIT:C3716","NCIT",NA,NA,NA
"ANAPLASTIC LARGE CELL LYMPHOMA","Anaplastic Large Cell Lymphoma","NCIT:C3720","NCIT",NA,NA,NA
"ANAPLASTIC_LARGE_CELL_LYMPHOMA","Anaplastic Large Cell Lymphoma","NCIT:C3720","NCIT",NA,NA,NA
"T-CELL, NON-HODGKINS, ANAPLASTIC LARGE CELL ALCL","Anaplastic Large Cell Lymphoma","NCIT:C3720","NCIT",NA,NA,NA
"T_CELL_ALCL","Anaplastic Large Cell Lymphoma","NCIT:C3720","NCIT",NA,NA,NA
"CD30+_ANAPLASTIC_LARGE_CELL_LYMPHOMA","Anaplastic Large Cell Lymphoma","NCIT:C3720","NCIT",NA,NA,NA
"SOLID PSEUDOPAPILLARY NEOPLASM OF THE PANCREAS","Solid Pseudopapillary Neoplasm of the Pancreas","NCIT:C37212","NCIT",NA,NA,NA
"PANCREAS-COLLOID MUCINOUS NON-CYSTIC CARCINOMA","Pancreatic Colloid Carcinoma","NCIT:C37214","NCIT",NA,NA,NA
"PDA - MUCINOUS NON-CYSTIC CARCINOMA","Pancreatic Colloid Carcinoma","NCIT:C37214","NCIT",NA,NA,NA
"DESMOPLASTIC MELANOMA","Desmoplastic Melanoma","NCIT:C37257","NCIT",NA,NA,NA
"ADENOSQUAMOUS CARCINOMA","Adenosquamous Carcinoma","NCIT:C3727","NCIT",NA,NA,NA
"MIXED_ADENOSQUAMOUS_CARCINOMA","Adenosquamous Carcinoma","NCIT:C3727","NCIT",NA,NA,NA
"ADENOSQUAMOUS","Adenosquamous Carcinoma","NCIT:C3727","NCIT",NA,NA,NA
"HEPATOBLASTOMA","Hepatoblastoma","NCIT:C3728","NCIT",NA,NA,NA
"LIHB","Hepatoblastoma","NCIT:C3728","NCIT",NA,NA,NA
"HEAD & NECK SQUAMOUS CELL CARCINOMA BASALOID TYPE","Head and Neck Basaloid Carcinoma","NCIT:C37290","NCIT",NA,NA,NA
"MESENCHYMAL CHONDROSARCOMA","Mesenchymal Chondrosarcoma","NCIT:C3737","NCIT",NA,NA,NA
"CLEAR CELL SARCOMA","Clear Cell Sarcoma of Soft Tissue","NCIT:C3745","NCIT",NA,NA,NA
"ALVEOLAR RHABDOMYOSARCOMA","Alveolar Rhabdomyosarcoma","NCIT:C3749","NCIT",NA,NA,NA
"RHABDOMYOSARCOMA, ALVEOLAR SUBTYPE","Alveolar Rhabdomyosarcoma","NCIT:C3749","NCIT",NA,NA,NA
"RHABDOMYOSARCOMA, ALVEOLAR","Alveolar Rhabdomyosarcoma","NCIT:C3749","NCIT",NA,NA,NA
"ALVEOLAR SOFT PART SARCOMA","Alveolar Soft Part Sarcoma","NCIT:C3750","NCIT",NA,NA,NA
"ASPS","Alveolar Soft Part Sarcoma","NCIT:C3750","NCIT",NA,NA,NA
"EMBRYONAL CARCINOMA","Embryonal Carcinoma","NCIT:C3752","NCIT",NA,NA,NA
"EMBRYONAL","Embryonal Carcinoma","NCIT:C3752","NCIT",NA,NA,NA
"EMBRYONAL CARCINOMA","Embryonal Carcinoma","NCIT:C3752","NCIT",NA,NA,NA
"EMBRYONAL CARCINOMA[NOT AVAILABLE]","Embryonal Carcinoma","NCIT:C3752","NCIT",NA,NA,NA
"EMBRYONAL CARCINOMA[NOT AVAILABLE][NOT AVAILABLE][NOT AVAILABLE]","Embryonal Carcinoma","NCIT:C3752","NCIT",NA,NA,NA
"EMBRYO_CARCINOMA","Embryonal Carcinoma","NCIT:C3752","NCIT",NA,NA,NA
"HEPATOCELLULAR ADENOMA","Hepatocellular Adenoma","NCIT:C3758","NCIT",NA,NA,NA
"CLASSICAL HCA","Hepatocellular Adenoma","NCIT:C3758","NCIT",NA,NA,NA
"CLEAR CELL ADENOCARCINOMA","Clear Cell Adenocarcinoma","NCIT:C3766","NCIT",NA,NA,NA
"CLEAR CELL CARCINOMA","Clear Cell Adenocarcinoma","NCIT:C3766","NCIT",NA,NA,NA
"CLEAR_CELL_CARCINOMA","Clear Cell Adenocarcinoma","NCIT:C3766","NCIT",NA,NA,NA
"ACINAR CELL CARCINOMA","Acinar Cell Carcinoma","NCIT:C3768","NCIT",NA,NA,NA
"ACINIC CELL CARCINOMA","Acinar Cell Carcinoma","NCIT:C3768","NCIT",NA,NA,NA
"ACINAR CELL CARCINOMA, NOS","Acinar Cell Carcinoma","NCIT:C3768","NCIT",NA,NA,NA
"ENDOMETRIOID CARCINOMA","Endometrioid Adenocarcinoma","NCIT:C3769","NCIT",NA,NA,NA
"ENDOMETRIOID_CARCINOMA","Endometrioid Adenocarcinoma","NCIT:C3769","NCIT",NA,NA,NA
"ADENOCARCINOMA, ENDOMETRIOID","Endometrioid Adenocarcinoma","NCIT:C3769","NCIT",NA,NA,NA
"LOBULAR CARCINOMA","Breast Lobular Carcinoma","NCIT:C3771","NCIT",NA,NA,NA
"MUCOEPIDERMOID CARCINOMA","Mucoepidermoid Carcinoma","NCIT:C3772","NCIT",NA,NA,NA
"MUCOEPIDERMOID_CARCINOMA","Mucoepidermoid Carcinoma","NCIT:C3772","NCIT",NA,NA,NA
"CARCINOMA, MUCOEPIDERMOID","Mucoepidermoid Carcinoma","NCIT:C3772","NCIT",NA,NA,NA
"NEUROENDOCRINE CARCINOMA","Neuroendocrine Carcinoma","NCIT:C3773","NCIT",NA,NA,NA
"NEUROENDOCRINE CARCINOMA, NOS","Neuroendocrine Carcinoma","NCIT:C3773","NCIT",NA,NA,NA
"NEUROENDOCRINE CARCINOMA NOS","Neuroendocrine Carcinoma","NCIT:C3773","NCIT",NA,NA,NA
"82463 NEUROENDOCRINE CARCINOMA NOS","Neuroendocrine Carcinoma","NCIT:C3773","NCIT",NA,NA,NA
"ADENOCARCINOMA, SIGNET RING CELL","Signet Ring Cell Carcinoma","NCIT:C3774","NCIT",NA,NA,NA
"MUCINOUS CYSTADENOCARCINOMA","Mucinous Cystadenocarcinoma","NCIT:C3776","NCIT",NA,NA,NA
"CYSTADENOCARCINOMA, MUCINOUS","Mucinous Cystadenocarcinoma","NCIT:C3776","NCIT",NA,NA,NA
"SEROUS CYSTADENOCARCINOMA","Serous Cystadenocarcinoma","NCIT:C3778","NCIT",NA,NA,NA
"CARCINOMA, GIANT CELL","Giant Cell Carcinoma","NCIT:C3779","NCIT",NA,NA,NA
"LARGE_CELL_CARCINOMA","Large Cell Carcinoma","NCIT:C3780","NCIT",NA,NA,NA
"NEUROEPITHELIAL TUMOR","Neuroepithelial Neoplasm","NCIT:C3787","NCIT",NA,NA,NA
"MISCELLANEOUS NEUROEPITHELIAL TUMOR","Neuroepithelial Neoplasm","NCIT:C3787","NCIT",NA,NA,NA
"PRIMARY NEUROEPITHELIAL TUMOR","Neuroepithelial Neoplasm","NCIT:C3787","NCIT",NA,NA,NA
"GANGLIOGLIOMA","Ganglioglioma","NCIT:C3788","NCIT",NA,NA,NA
"OLFACTORY NEUROBLASTOMA","Olfactory Neuroblastoma","NCIT:C3789","NCIT",NA,NA,NA
"GANGLIONEUROBLASTOMA","Ganglioneuroblastoma","NCIT:C3790","NCIT",NA,NA,NA
"CENTRAL NEUROCYTOMA","Central Neurocytoma","NCIT:C3791","NCIT",NA,NA,NA
"SEX CORD-STROMAL TUMOUR","Sex Cord-Stromal Tumor","NCIT:C3794","NCIT",NA,NA,NA
"SEX CORD STROMAL TUMOR","Sex Cord-Stromal Tumor","NCIT:C3794","NCIT",NA,NA,NA
"GLIOSARCOMA","Gliosarcoma","NCIT:C3796","NCIT",NA,NA,NA
"MALIGNANT PERIPHERAL NERVE SHEATH TUMOR","Malignant Peripheral Nerve Sheath Tumor","NCIT:C3798","NCIT",NA,NA,NA
"MALIGNANT PERIPHERAL NERVE SHEATH TUMORS MPNST","Malignant Peripheral Nerve Sheath Tumor","NCIT:C3798","NCIT",NA,NA,NA
"EPITHELIOID HEMANGIOENDOTHELIOMA","Epithelioid Hemangioendothelioma","NCIT:C3800","NCIT",NA,NA,NA
"HEMANGIOBLASTOMA","Hemangioblastoma","NCIT:C3801","NCIT",NA,NA,NA
"AMELANOTIC","Amelanotic Melanoma","NCIT:C3802","NCIT",NA,NA,NA
"MALIGNANT AMELANOTIC MELANOMA","Amelanotic Melanoma","NCIT:C3802","NCIT",NA,NA,NA
"MELANOMA, AMELANOTIC","Amelanotic Melanoma","NCIT:C3802","NCIT",NA,NA,NA
"BLUE NEVUS","Blue Nevus","NCIT:C3803","NCIT",NA,NA,NA
"RT","Rhabdoid Tumor","NCIT:C3808","NCIT",NA,NA,NA
"RHABDOID TUMOR","Rhabdoid Tumor","NCIT:C3808","NCIT",NA,NA,NA
"RHABDOID TUMOUR","Rhabdoid Tumor","NCIT:C3808","NCIT",NA,NA,NA
"RHABDOID CANCER","Rhabdoid Tumor","NCIT:C3808","NCIT",NA,NA,NA
"MALIGNANT RHABDOID TUMOR","Rhabdoid Tumor","NCIT:C3808","NCIT",NA,NA,NA
"MALIGNANT_RHABDOID_TUMOR","Rhabdoid Tumor","NCIT:C3808","NCIT",NA,NA,NA
"RHABDOID_TUMOUR","Rhabdoid Tumor","NCIT:C3808","NCIT",NA,NA,NA
"PERIVASCULAR EPITHELIOID CELL TUMOR","PEComa","NCIT:C38150","NCIT",NA,NA,NA
"HEPATOCHOLANGIOCARCINOMA MIXED","Combined Hepatocellular Carcinoma and Cholangiocarcinoma","NCIT:C3828","NCIT",NA,NA,NA
"INTRADUCTAL PAPILLARY MUCINOUS NEOPLASM","Pancreatic Intraductal Papillary-Mucinous Neoplasm","NCIT:C38342","NCIT",NA,NA,NA
"GALLBLADDER CANCER","Gallbladder Carcinoma","NCIT:C3844","NCIT",NA,NA,NA
"GALLBLADDER CARCINOMA","Gallbladder Carcinoma","NCIT:C3844","NCIT",NA,NA,NA
"GALLBLADDER CARCINOMA OTHER","Gallbladder Carcinoma","NCIT:C3844","NCIT",NA,NA,NA
"GBC","Gallbladder Carcinoma","NCIT:C3844","NCIT",NA,NA,NA
"PANCREATIC CANCER","Pancreatic Carcinoma","NCIT:C3850","NCIT",NA,NA,NA
"PANCREATIC_CANCER","Pancreatic Carcinoma","NCIT:C3850","NCIT",NA,NA,NA
"PANCREATIC CANCER, NOS","Pancreatic Carcinoma","NCIT:C3850","NCIT",NA,NA,NA
"PANCREATIC CANCER OTHER","Pancreatic Carcinoma","NCIT:C3850","NCIT",NA,NA,NA
"GASTROINTESTINAL STROMAL TUMOR","Gastrointestinal Stromal Tumor","NCIT:C3868","NCIT",NA,NA,NA
"GIST","Gastrointestinal Stromal Tumor","NCIT:C3868","NCIT",NA,NA,NA
"GASTROINTESTINAL STROMAL","Gastrointestinal Stromal Tumor","NCIT:C3868","NCIT",NA,NA,NA
"NASOPHARYNGEAL CARCINOMA","Nasopharyngeal Carcinoma","NCIT:C3871","NCIT",NA,NA,NA
"OVARIAN GERM CELL TUMOR","Ovarian Germ Cell Tumor","NCIT:C3873","NCIT",NA,NA,NA
"ANAPLASTIC THYROID CANCER","Thyroid Gland Anaplastic Carcinoma","NCIT:C3878","NCIT",NA,NA,NA
"ANAPLASTIC THYROID CARCINOMA","Thyroid Gland Anaplastic Carcinoma","NCIT:C3878","NCIT",NA,NA,NA
"MEDULLARY THYROID CANCER","Thyroid Gland Medullary Carcinoma","NCIT:C3879","NCIT",NA,NA,NA
"MEDULLARY THYROID CARCINOMA","Thyroid Gland Medullary Carcinoma","NCIT:C3879","NCIT",NA,NA,NA
"MEDULLA_CARCINOMA","Thyroid Gland Medullary Carcinoma","NCIT:C3879","NCIT",NA,NA,NA
"RENAL ANGIOMYOLIPOMA","Kidney Angiomyolipoma","NCIT:C3888","NCIT",NA,NA,NA
"EXTRANODAL MARGINAL ZONE LYMPHOMA OF MUCOSA-ASSOCIATED LYMPHOID TISSUE MALT LYMPHOMA","Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue","NCIT:C3898","NCIT",NA,NA,NA
"TELANGIECTATIC OSTEOSARCOMA","Telangiectatic Osteosarcoma","NCIT:C3902","NCIT",NA,NA,NA
"AMPULLARY CARCINOMA","Ampulla of Vater Carcinoma","NCIT:C3908","NCIT",NA,NA,NA
"AMPULLARY CANCER","Ampulla of Vater Carcinoma","NCIT:C3908","NCIT",NA,NA,NA
"SMALL CELL CARCINOMA","Small Cell Neuroendocrine Carcinoma","NCIT:C3915","NCIT",NA,NA,NA
"SMALL_CELL_CARCINOMA","Small Cell Neuroendocrine Carcinoma","NCIT:C3915","NCIT",NA,NA,NA
"SMALL CELL CARCINOMA OF UNKNOWN PRIMARY","Small Cell Neuroendocrine Carcinoma","NCIT:C3915","NCIT",NA,NA,NA
"CARCINOMA SMALL CELL","Small Cell Neuroendocrine Carcinoma","NCIT:C3915","NCIT",NA,NA,NA
"VAGINAL CANCER","Vaginal Carcinoma","NCIT:C3917","NCIT",NA,NA,NA
"EXTRA GONADAL GERM CELL TUMOR","Extragonadal Germ Cell Tumor","NCIT:C3918","NCIT",NA,NA,NA
"INFLAMMATORY MYOFIBROBLASTIC LUNG TUMOR","Lung Inflammatory Myofibroblastic Tumor","NCIT:C39740","NCIT",NA,NA,NA
"GLIOBLASTOMA, IDH-WILDTYPE","Glioblastoma, IDH-Wildtype","NCIT:C39750","NCIT",NA,NA,NA
"GLIOBLASTOMA, IDH-WILDTPYE","Glioblastoma, IDH-Wildtype","NCIT:C39750","NCIT",NA,NA,NA
"RENAL MUCINOUS TUBULAR SPINDLE CELL CARCINOMA","Mucinous Tubular and Spindle Cell Carcinoma of the Kidney","NCIT:C39807","NCIT",NA,NA,NA
"URACHAL CARCINOMA","Bladder Urachal Carcinoma","NCIT:C39842","NCIT",NA,NA,NA
"URACHAL ADENOCARCINOMA","Bladder Urachal Adenocarcinoma","NCIT:C39843","NCIT",NA,NA,NA
"BLADDER UROTHELIAL CARCINOMA","Bladder Urothelial Carcinoma","NCIT:C39851","NCIT",NA,NA,NA
"BLCA","Bladder Urothelial Carcinoma","NCIT:C39851","NCIT",NA,NA,NA
"BLADDER UROTHELIAL","Bladder Urothelial Carcinoma","NCIT:C39851","NCIT",NA,NA,NA
"MUSCLE INVASIVE UROTHELIAL CARCINOMA PT2 OR ABOVE","Infiltrating Urothelial Carcinoma","NCIT:C39853","NCIT",NA,NA,NA
"JUVENILE GRANULOSA CELL TUMOR","Juvenile Granulosa Cell Tumor","NCIT:C39947","NCIT",NA,NA,NA
"BRENNER TUMOR","Brenner Tumor","NCIT:C39954","NCIT",NA,NA,NA
"BRENNER_TUMOUR","Brenner Tumor","NCIT:C39954","NCIT",NA,NA,NA
"CARCINOMA, BRENNER","Brenner Tumor","NCIT:C39954","NCIT",NA,NA,NA
"BRENNER_TUMOR","Brenner Tumor","NCIT:C39954","NCIT",NA,NA,NA
"MGUS","Monoclonal Gammopathy of Undetermined Significance","NCIT:C3996","NCIT",NA,NA,NA
"STEROID CELL TUMOR, NOS","Ovarian Steroid Cell Tumor, Not Otherwise Specified","NCIT:C39979","NCIT",NA,NA,NA
"INFLAMMATORY BREAST CANCER","Breast Inflammatory Carcinoma","NCIT:C4001","NCIT",NA,NA,NA
"MUCINOUS OVARIAN CANCER","Malignant Ovarian Mucinous Tumor","NCIT:C40033","NCIT",NA,NA,NA
"STOMACH ADENOCARCINOMA","Gastric Adenocarcinoma","NCIT:C4004","NCIT",NA,NA,NA
"STAD","Gastric Adenocarcinoma","NCIT:C4004","NCIT",NA,NA,NA
"GASTRIC ADENOCARCINOMA","Gastric Adenocarcinoma","NCIT:C4004","NCIT",NA,NA,NA
"STOMACH ADENOCARINOMA","Gastric Adenocarcinoma","NCIT:C4004","NCIT",NA,NA,NA
"STOMACH, ADENOCARCINOMA, NOT OTHERWISE SPECIFIED NOS","Gastric Adenocarcinoma","NCIT:C4004","NCIT",NA,NA,NA
"GASTRIC_ADENOCARCINOMA","Gastric Adenocarcinoma","NCIT:C4004","NCIT",NA,NA,NA
"STAD_GS","Gastric Adenocarcinoma","NCIT:C4004","NCIT",NA,NA,NA
"CLEAR CELL OVARIAN CANCER","Ovarian Clear Cell Tumor","NCIT:C40076","NCIT",NA,NA,NA
"OVARIAN CLEAR CELL","Malignant Ovarian Clear Cell Tumor","NCIT:C40077","NCIT",NA,NA,NA
"CCOV","Malignant Ovarian Clear Cell Tumor","NCIT:C40077","NCIT",NA,NA,NA
"CLEAR CELL BORDERLINE OVARIAN TUMOR","Borderline Ovarian Clear Cell Tumor","NCIT:C40080","NCIT",NA,NA,NA
"OVARIAN SEROMUCINOUS CARCINOMA","Ovarian Seromucinous Carcinoma","NCIT:C40090","NCIT",NA,NA,NA
"ADENOCARCINOMA, SEROUS","Serous Adenocarcinoma","NCIT:C40101","NCIT",NA,NA,NA
"HEAD AND NECK CANCER","Malignant Head and Neck Neoplasm","NCIT:C4013","NCIT",NA,NA,NA
"HEAD AND NECK CANCER, NOS","Malignant Head and Neck Neoplasm","NCIT:C4013","NCIT",NA,NA,NA
"HEAD AND NECK CARCINOMA, OTHER","Malignant Head and Neck Neoplasm","NCIT:C4013","NCIT",NA,NA,NA
"HEAD AND NECK CARCINOMA OTHER","Malignant Head and Neck Neoplasm","NCIT:C4013","NCIT",NA,NA,NA
"BONE CANCER","Malignant Bone Neoplasm","NCIT:C4016","NCIT",NA,NA,NA
"BONE_CANCER","Malignant Bone Neoplasm","NCIT:C4016","NCIT",NA,NA,NA
"DUCTAL CARCINOMA","Breast Ductal Carcinoma","NCIT:C4017","NCIT",NA,NA,NA
"BREAST DUCTAL CARCINOMA","Breast Ductal Carcinoma","NCIT:C4017","NCIT",NA,NA,NA
"DUCTAL_CARCINOMA","Breast Ductal Carcinoma","NCIT:C4017","NCIT",NA,NA,NA
"DUCTAL CARCINOMA- MAMMARY GLAND","Breast Ductal Carcinoma","NCIT:C4017","NCIT",NA,NA,NA
"BREAST_DUCTAL_CARCINOMA","Breast Ductal Carcinoma","NCIT:C4017","NCIT",NA,NA,NA
"DUCTAL/NST","Breast Ductal Carcinoma","NCIT:C4017","NCIT",NA,NA,NA
"UTERINE EPITHELIOID LEIOMYOSARCOMA","Uterine Corpus Epithelioid Leiomyosarcoma","NCIT:C40174","NCIT",NA,NA,NA
"UTERINE MYXOID LEIOMYOSARCOMA","Uterine Corpus Myxoid Leiomyosarcoma","NCIT:C40175","NCIT",NA,NA,NA
"UTERINE SMOOTH MUSCLE TUMOR OF UNCERTAIN MALIGNANT POTENTIAL","Uterine Corpus Smooth Muscle Tumor of Uncertain Malignant Potential","NCIT:C40177","NCIT",NA,NA,NA
"UTERINE PERIVASCULAR EPITHELIOID CELL TUMOR","Uterine Corpus PEComa","NCIT:C40180","NCIT",NA,NA,NA
"CERVICAL_SQUAMOUS","Cervical Squamous Neoplasm","NCIT:C40195","NCIT",NA,NA,NA
"FIBROBLASTIC OSTEOSARCOMA","Fibroblastic Osteosarcoma","NCIT:C4020","NCIT",NA,NA,NA
"INTESTINAL TYPE MUCINOUS CARCINOMA","Cervical Mucinous Adenocarcinoma, Intestinal-Type","NCIT:C40203","NCIT",NA,NA,NA
"CHONDROBLASTIC OSTEOSARCOMA","Chondroblastic Osteosarcoma","NCIT:C4021","NCIT",NA,NA,NA
"ACRAL MELANOMA","Acral Lentiginous Melanoma","NCIT:C4022","NCIT",NA,NA,NA
"ACRAL LENTIGINOUS","Acral Lentiginous Melanoma","NCIT:C4022","NCIT",NA,NA,NA
"ACRAL","Acral Lentiginous Melanoma","NCIT:C4022","NCIT",NA,NA,NA
"SMALL CELL OSTEOSARCOMA","Small Cell Osteosarcoma","NCIT:C4023","NCIT",NA,NA,NA
"ESOPHAGEAL SQUAMOUS CELL CARCINOMA","Esophageal Squamous Cell Carcinoma","NCIT:C4024","NCIT",NA,NA,NA
"ESOPHAGUS SQUAMOUS CELL CARCINOMA","Esophageal Squamous Cell Carcinoma","NCIT:C4024","NCIT",NA,NA,NA
"ESOPHAGUS_SQUAMOUS","Esophageal Squamous Cell Carcinoma","NCIT:C4024","NCIT",NA,NA,NA
"OESOPHAGEAL SQUAMOUS CELL CARCINOMA","Esophageal Squamous Cell Carcinoma","NCIT:C4024","NCIT",NA,NA,NA
"ESOPHAGEAL ADENOCARCINOMA","Esophageal Adenocarcinoma","NCIT:C4025","NCIT",NA,NA,NA
"ESOPHAGEAL ADENOCARINOMA","Esophageal Adenocarcinoma","NCIT:C4025","NCIT",NA,NA,NA
"ESOPHAGUS ADENOCARCINOMA, NOS","Esophageal Adenocarcinoma","NCIT:C4025","NCIT",NA,NA,NA
"ESOPHAGUS_ADENOCARCINOMA","Esophageal Adenocarcinoma","NCIT:C4025","NCIT",NA,NA,NA
"ESCA_GS","Esophageal Adenocarcinoma","NCIT:C4025","NCIT",NA,NA,NA
"CERVICAL SQUAMOUS CELL CARCINOMA","Cervical Squamous Cell Carcinoma","NCIT:C4028","NCIT",NA,NA,NA
"CERVICAL SQUAMOUS CELL","Cervical Squamous Cell Carcinoma","NCIT:C4028","NCIT",NA,NA,NA
"CESC_SQUAMOUSCARCINOMA","Cervical Squamous Cell Carcinoma","NCIT:C4028","NCIT",NA,NA,NA
"CESC","Cervical Squamous Cell Carcinoma","NCIT:C4028","NCIT",NA,NA,NA
"ENDOCERVICAL ADENOCARCINOMA","Cervical Adenocarcinoma","NCIT:C4029","NCIT",NA,NA,NA
"CERVICAL ADENOCARCINOMA","Cervical Adenocarcinoma","NCIT:C4029","NCIT",NA,NA,NA
"ENDOCERVICAL TYPE OF ADENOCARCINOMA","Cervical Adenocarcinoma","NCIT:C4029","NCIT",NA,NA,NA
"ENDOCERVICAL ADENOCARCINOMA OF THE USUAL TYPE","Cervical Adenocarcinoma","NCIT:C4029","NCIT",NA,NA,NA
"CERVICAL_ADENOCARCINOMA","Cervical Adenocarcinoma","NCIT:C4029","NCIT",NA,NA,NA
"UROTHELIAL CARCINOMA","Urothelial Carcinoma","NCIT:C4030","NCIT",NA,NA,NA
"UROTHELIAL CARCINOMA OTHER","Urothelial Carcinoma","NCIT:C4030","NCIT",NA,NA,NA
"BLADDER SQUAMOUS CELL CARCINOMA","Bladder Squamous Cell Carcinoma","NCIT:C4031","NCIT",NA,NA,NA
"BLADDER_SQUAMOUS","Bladder Squamous Cell Carcinoma","NCIT:C4031","NCIT",NA,NA,NA
"SEBACEOUS CARCINOMA","Sebaceous Carcinoma","NCIT:C40310","NCIT",NA,NA,NA
"PILOMYXOID ASTROCYTOMA","Pilomyxoid Astrocytoma","NCIT:C40315","NCIT",NA,NA,NA
"BLADDER ADENOCARCINOMA","Bladder Adenocarcinoma","NCIT:C4032","NCIT",NA,NA,NA
"RENAL CLEAR CELL CARCINOMA","Clear Cell Renal Cell Carcinoma","NCIT:C4033","NCIT",NA,NA,NA
"CLEAR CELL RENAL CELL CARCINOMA","Clear Cell Renal Cell Carcinoma","NCIT:C4033","NCIT",NA,NA,NA
"CCRCC","Clear Cell Renal Cell Carcinoma","NCIT:C4033","NCIT",NA,NA,NA
"RENAL CARCINOMA, CLEAR CELL","Clear Cell Renal Cell Carcinoma","NCIT:C4033","NCIT",NA,NA,NA
"CLEAR_CELL_RENAL_CELL_CARCINOMA","Clear Cell Renal Cell Carcinoma","NCIT:C4033","NCIT",NA,NA,NA
