original_value,curated_ontology,match_level,top_results
SQUAMOUS_CELL_CARCINOMA,Squamous Cell Carcinoma,1,Squamous Cell Carcinoma (Score: 0.9911);Lung Squamous Cell Carcinoma (Score: 0.9787);Laryngeal Squamous Cell Carcinoma (Score: 0.9755);Cervical Squamous Cell Carcinoma (Score: 0.9706);Skin Squamous Cell Carcinoma (Score: 0.9706)
ANAPLASTIC MENINGIOMA,Anaplastic (Malignant) Meningioma,1,Anaplastic (Malignant) Meningioma (Score: 0.9825);Anaplastic (Score: 0.9654);Anaplastic Astrocytoma (Score: 0.9625);Anaplastic Medulloblastoma (Score: 0.9544);Anaplastic Oligodendroglioma (Score: 0.9490)
GASTRIC NEUROENDOCRINE TUMOR,Gastric Neuroendocrine Tumor,1,Gastric Neuroendocrine Tumor (Score: 1.0000);Neuroendocrine Tumor (Score: 0.9605);Gallbladder Neuroendocrine Tumor (Score: 0.9595);Gastric Small Cell Neuroendocrine Carcinoma (Score: 0.9582);Esophageal Neuroendocrine Tumor (Score: 0.9578)
"NON-SMALL CELL LUNG CANCER NSCLC, ADENOCARCINOMA",Lung Non-Small Cell Carcinoma<;>Lung Adenocarcinoma,0,Lung Non-Small Cell Carcinoma (Score: 0.9739);Non-Small Cell Carcinoma (Score: 0.9571);Lung Small Cell Carcinoma (Score: 0.9542);Lung Non-Mucinous Adenocarcinoma (Score: 0.9464);Lung Adenocarcinoma (Score: 0.9440)
MIXED OVARIAN CARCINOMA,ovary mixed epithelial carcinoma,1,ovary mixed epithelial carcinoma (Score: 0.9821);Mixed Carcinoma (Score: 0.9652);Mixed Cell Adenocarcinoma (Score: 0.9426);Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma (Score: 0.9369);Malignant Ovarian Mucinous Tumor (Score: 0.9351)
ADENOCARCINOMA,Adenocarcinoma,1,Adenocarcinoma (Score: 1.0000);Breast Adenocarcinoma (Score: 0.9694);Lung Adenocarcinoma (Score: 0.9686);Prostate Adenocarcinoma (Score: 0.9642);Pancreatic Adenocarcinoma (Score: 0.9628)
PLEOMORPHIC_SARCOMA,Undifferentiated Pleomorphic Sarcoma,3,Pleomorphic Liposarcoma (Score: 0.9613);Pleomorphic Rhabdomyosarcoma (Score: 0.9608);Undifferentiated Pleomorphic Sarcoma (Score: 0.9567);Lung Pleomorphic Carcinoma (Score: 0.9388);Sarcoma (Score: 0.9323)
EPENDYMOMAL TUMOR,Ependymal Tumor,1,Ependymal Tumor (Score: 0.9813);Ependymoma (Score: 0.9658);Supratentorial Ependymoma (Score: 0.9442);Anaplastic Ependymoma (Score: 0.9386);Myxopapillary Ependymoma (Score: 0.9329)
TYPE A,Thymoma Type A,1,Thymoma Type A (Score: 0.9211);Thymoma Type AB (Score: 0.9091);Thymoma Type B1 (Score: 0.8968);Thymoma Type B2 (Score: 0.8938);Thymoma Type B3 (Score: 0.8863)
PROXIMAL-TYPE EPITHELIOID SARCOMA PTES,Proximal-Type Epithelioid Sarcoma,1,Proximal-Type Epithelioid Sarcoma (Score: 0.9843);Epithelioid Sarcoma (Score: 0.9186);Epithelioid Trophoblastic Tumor (Score: 0.8978);Epithelioid Mesothelioma (Score: 0.8967);Epithelioid Cell (Score: 0.8955)
ERNEG_HER2POS,Estrogen Receptor Negative<;>HER2/Neu Positive,0,HER2/Neu Positive (Score: 0.9202);HER2-Positive Breast Carcinoma (Score: 0.9138);HER2/Neu Negative (Score: 0.9096);Estrogen Receptor Positive (Score: 0.8878);Estrogen Receptor Negative (Score: 0.8823)
ADENOCARCINOMA WITH FOCAL MUCINOUS FEATURES,Mucinous Adenocarcinoma,1,"Mucinous Adenocarcinoma (Score: 0.9412);Colon Mucinous Adenocarcinoma (Score: 0.9366);Cervical Mucinous Adenocarcinoma, Intestinal-Type (Score: 0.9296);Gastric Mucinous Adenocarcinoma (Score: 0.9292);Lung Mucinous Adenocarcinoma (Score: 0.9273)"
B_CELL_FOLLICULAR,Follicular Lymphoma,2,Follicular Helper T-Cell Lymphoma (Score: 0.9344);Follicular Lymphoma (Score: 0.9306);B-Lymphocyte (Score: 0.9239);Follicle (Score: 0.9123);germinal center B cell (Score: 0.9100)
B-CELL_ALL,B Acute Lymphoblastic Leukemia,0,B-Lymphocyte (Score: 0.9396);B-Cell Non-Hodgkin Lymphoma (Score: 0.9272);B-Cell Neoplasm (Score: 0.9190);B Lymphoblastic Leukemia/Lymphoma (Score: 0.9168);Mature B-Cell Non-Hodgkin Lymphoma (Score: 0.9091)
SIGNET RING CELL TYPE OF THE APPENDIX,Appendix Signet Ring Cell Carcinoma,1,Appendix Signet Ring Cell Carcinoma (Score: 0.9642);Signet Ring Cell (Score: 0.9589);Signet Ring Cell Carcinoma (Score: 0.9484);Signet Ring Adenocarcinoma Cell (Score: 0.9439);Colon Signet Ring Cell Adenocarcinoma (Score: 0.9366)
CUTANEOUS SQUAMOUS CELL CARCINOMA,Skin Squamous Cell Carcinoma,1,Skin Squamous Cell Carcinoma (Score: 0.9879);Squamous Cell Carcinoma (Score: 0.9723);Cervical Squamous Cell Carcinoma (Score: 0.9648);Skin Carcinoma (Score: 0.9636);Lung Squamous Cell Carcinoma (Score: 0.9610)
ASTROCYTOMA,Astrocytoma,1,"Astrocytoma (Score: 1.0000);Anaplastic Astrocytoma (Score: 0.9646);Pilocytic Astrocytoma (Score: 0.9425);Diffuse Astrocytoma (Score: 0.9397);Anaplastic Astrocytoma, IDH-Wildtype (Score: 0.9359)"
OVARIAN CLEAR CELL,Malignant Ovarian Clear Cell Tumor,3,Ovarian Clear Cell Tumor (Score: 0.9831);Ovarian Clear Cell Cystadenocarcinoma (Score: 0.9688);Malignant Ovarian Clear Cell Tumor (Score: 0.9604);Borderline Ovarian Clear Cell Tumor (Score: 0.9454);Clear Cell (Score: 0.9435)
MUCOSAL MELANOMA OF THE VULVA/VAGINA,Vaginal Melanoma,1,Vaginal Melanoma (Score: 0.9568);Mucosal Melanoma of the Head and Neck (Score: 0.9525);Mucosal Melanoma (Score: 0.9507);Vulvar Carcinoma (Score: 0.9324);Cutaneous Melanoma (Score: 0.9273)
AML WITHOUT MATURATION,Acute Myeloid Leukemia without Maturation,1,Acute Myeloid Leukemia without Maturation (Score: 0.9653);Acute Myeloid Leukemia with Maturation (Score: 0.9450);Acute Myeloid Leukemia with Minimal Differentiation (Score: 0.9071);Acute Myeloid Leukemia with Multilineage Dysplasia (Score: 0.8988);Acute Myeloid Leukemia Not Otherwise Specified (Score: 0.8956)
PERIPHERAL MEDULLOEPITHELIOMA,Central Nervous System Medulloepithelioma,1,Central Nervous System Medulloepithelioma (Score: 0.9531);Peripheral Primitive Neuroectodermal Tumor (Score: 0.9305);Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor (Score: 0.9114);Peripheral Nervous System (Score: 0.9050);Primitive Neuroectodermal Tumor (Score: 0.8955)
URETHRAL SQUAMOUS CELL CARCINOMA,Urethral Squamous Cell Carcinoma,1,Urethral Squamous Cell Carcinoma (Score: 1.0000);Urethral Carcinoma (Score: 0.9701);Squamous Cell Carcinoma (Score: 0.9607);Urethral Urothelial Carcinoma (Score: 0.9604);Bladder Squamous Cell Carcinoma (Score: 0.9569)
CONVENTIONAL LEIOMYOSARCOMA,Conventional Leiomyosarcoma,1,Conventional Leiomyosarcoma (Score: 1.0000);Leiomyosarcoma (Score: 0.9432);Well Differentiated Leiomyosarcoma (Score: 0.9214);Uterine Corpus Leiomyosarcoma (Score: 0.9207);Uterine Corpus Myxoid Leiomyosarcoma (Score: 0.9142)
BONE_CANCER,Malignant Bone Neoplasm,2,Bone Sarcoma (Score: 0.9373);Malignant Bone Neoplasm (Score: 0.9354);Bone (Score: 0.9333);Giant Cell Tumor of Bone (Score: 0.9152);Prostate Carcinoma (Score: 0.9051)
PHARYNX,Pharynx,1,Pharynx (Score: 1.0000);Stomach (Score: 0.8928);Head and Neck (Score: 0.8925);Pharyngeal Squamous Cell Carcinoma (Score: 0.8861);Esophagus (Score: 0.8851)
TISSUE NOS,Tissue,1,Tissue (Score: 0.9435);Soft Tissue (Score: 0.8713);Brain (Score: 0.8707);Muscle (Score: 0.8673);Neurofibroma (Score: 0.8647)
MUCINOUS ADENOCARCINOMA LYMPH NODE,Mucinous Adenocarcinoma<;>Lymph Node,0,Mucinous Adenocarcinoma (Score: 0.9419);Appendix Mucinous Adenocarcinoma (Score: 0.9325);Colon Mucinous Adenocarcinoma (Score: 0.9306);Lung Mucinous Adenocarcinoma (Score: 0.9303);Gastric Mucinous Adenocarcinoma (Score: 0.9292)
ADULT_T_CELL_LYMPHOMA-LEUKAEMIA,Adult T-Cell Leukemia/Lymphoma,1,Adult T-Cell Leukemia/Lymphoma (Score: 0.9819);T Lymphoblastic Leukemia/Lymphoma (Score: 0.9434);T-Cell Non-Hodgkin Lymphoma (Score: 0.9316);B Lymphoblastic Leukemia/Lymphoma (Score: 0.9288);T Acute Lymphoblastic Leukemia (Score: 0.9247)
ADENOCARINOMA,Adenocarcinoma,0,Adenosarcoma (Score: 0.9467);Adenoid Cystic Carcinoma (Score: 0.9393);Uterine Corpus Adenosarcoma (Score: 0.9297);Cervical Adenoid Cystic Carcinoma (Score: 0.9273);Lung Adenoid Cystic Carcinoma (Score: 0.9246)
"GLIOBLASTOMA WITH PRIMITIVE NEURONAL COMPONENT, IDH-WILDTYPE","Glioblastoma, IDH-Wildtype<;>Glioblastoma with Primitive Neuronal Component",0,"Glioblastoma, IDH-Wildtype (Score: 0.9630);Glioblastoma with Primitive Neuronal Component (Score: 0.9589);Anaplastic Astrocytoma, IDH-Wildtype (Score: 0.9446);Astrocytoma, IDH-Mutant, Grade 3 (Score: 0.9334);Astrocytoma, IDH-Mutant, Grade 2 (Score: 0.9317)"
PROSTATE ADENOCARCINOMA,Prostate Adenocarcinoma,1,Prostate Adenocarcinoma (Score: 1.0000);Prostate Ductal Adenocarcinoma (Score: 0.9685);Prostate Carcinoma (Score: 0.9683);Prostate Acinar Adenocarcinoma (Score: 0.9674);Adenocarcinoma (Score: 0.9642)
CHROMOPHOBE RENAL CELL CARCINOMAÃ‚Â ,Chromophobe Renal Cell Carcinoma,1,Chromophobe Renal Cell Carcinoma (Score: 0.9947);Classic Variant of Chromophobe Renal Cell Carcinoma (Score: 0.9694);Eosinophilic Variant of Chromophobe Renal Cell Carcinoma (Score: 0.9573);Renal Cell Carcinoma (Score: 0.9542);Clear Cell Renal Cell Carcinoma (Score: 0.9468)
POORLY DIFFERENTIATED ONCOCYTIC CARCINOMA,Oncocytic Variant Thyroid Gland Papillary Carcinoma,5,Poorly Differentiated Adenocarcinoma (Score: 0.9480);Poorly Differentiated Thyroid Gland Carcinoma (Score: 0.9448);Oncocytic Neoplasm (Score: 0.9441);Poorly Differentiated Adenocarcinoma Cell (Score: 0.9437);Oncocytic Variant Thyroid Gland Papillary Carcinoma (Score: 0.9387)
NON-SEMINOMA; TERATOMA MATURENON-SEMINOMA; EMBRYONAL CARCINOMANON-SEMINOMA; TERATOMA IMMATURENON-SEMINOMA; YOLK SAC TUMOR,Nonseminomatous<;>Immature Teratoma<;>Yolk Sac Tumor<;>Embryonal Carcinoma<;>Mature Teratoma,0,"Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9405);Teratoma with Somatic-Type Malignancy (Score: 0.9364);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9262);Mature T-Cell and NK-Cell Neoplasm (Score: 0.9241);Mature Teratoma (Score: 0.9219)"
CELLULAR SCHWANNOMA,Cellular Schwannoma,1,Cellular Schwannoma (Score: 1.0000);Schwannoma (Score: 0.9341);Melanotic Schwannoma (Score: 0.9073);Plexiform Schwannoma (Score: 0.9041);Spindle Cell Neoplasm (Score: 0.8931)
SCLEROSING EPITHELIOID FIBROSARCOMA,Sclerosing Epithelioid Fibrosarcoma,1,Sclerosing Epithelioid Fibrosarcoma (Score: 1.0000);Epithelioid Sarcoma (Score: 0.9402);Fibrosarcoma (Score: 0.9320);Epithelioid Mesothelioma (Score: 0.9176);Sclerosing Rhabdomyosarcoma (Score: 0.9138)
THYMIC NEUROENDOCRINE TUMOR,thymic neuroendocrine tumor,1,thymic neuroendocrine tumor (Score: 1.0000);Thymic Neuroendocrine Carcinoma (Score: 0.9830);Neuroendocrine Tumor (Score: 0.9588);Thymic Epithelial Neoplasm (Score: 0.9505);Esophageal Neuroendocrine Tumor (Score: 0.9421)
SALIVARY CANCER,Salivary Gland Carcinoma,1,Salivary Gland Carcinoma (Score: 0.9691);Salivary Gland Secretory Carcinoma (Score: 0.9541);Salivary Gland Adenocarcinoma (Score: 0.9539);Salivary Gland Squamous Cell Carcinoma (Score: 0.9495);Salivary Duct Carcinoma (Score: 0.9494)
ADENOCARCINOMA- MAMMARY GLAND; BREAST; METASTATIC SITE: PLEURAL EFFUSION;,Breast Adenocarcinoma<;>Pleural Effusion<;>Site of Metastasis,0,Breast Adenocarcinoma (Score: 0.9288);Pleural Effusion (Score: 0.9246);Lung Adenocarcinoma (Score: 0.9236);Malignant Pleural Neoplasm (Score: 0.9222);Pleural Mesothelioma (Score: 0.9221)
UNILATERAL,Unilateral,1,Unilateral (Score: 1.0000);Bilateral (Score: 0.9059);Lobular (Score: 0.8876);Localized (Score: 0.8681);Undifferentiated (Score: 0.8674)
TGCT_SEMINOMA,Testicular Seminoma,1,Testicular Seminoma (Score: 0.9573);Seminoma (Score: 0.9554);Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9388);Testicular Germ Cell Tumor (Score: 0.9377);Testicular Carcinoma (Score: 0.9253)
SINONASAL SQUAMOUS CELL CARCINOMA,Sinonasal Squamous Cell Carcinoma,1,Sinonasal Squamous Cell Carcinoma (Score: 1.0000);Squamous Cell Carcinoma (Score: 0.9597);Salivary Gland Squamous Cell Carcinoma (Score: 0.9571);Head and Neck Squamous Cell Carcinoma (Score: 0.9544);Sinonasal Undifferentiated Carcinoma (Score: 0.9514)
MATURE B-CELL NEOPLASMS,Mature B-Cell Neoplasm,1,Mature B-Cell Neoplasm (Score: 0.9970);Mature B-Cell Non-Hodgkin Lymphoma (Score: 0.9634);B-Cell Neoplasm (Score: 0.9607);Mature T-Cell and NK-Cell Neoplasm (Score: 0.9513);Monoclonal B-Cell Lymphocytosis (Score: 0.9198)
LOCALIZED,Localized,1,Localized (Score: 1.0000);Local-Regional (Score: 0.9073);Lobular (Score: 0.8813);Regional (Score: 0.8734);Limited Stage (Score: 0.8711)
INTESTINAL,Intestinal,1,Intestinal (Score: 1.0000);Intestine (Score: 0.9747);Jejunum (Score: 0.9167);Malignant Intestinal Neoplasm (Score: 0.9077);Small Intestinal Adenocarcinoma (Score: 0.9049)
AML WITH MUTATED CEBPA,Acute Myeloid Leukemia with Mutated CEBPA,1,Acute Myeloid Leukemia with Mutated CEBPA (Score: 0.9843);Acute Myeloid Leukemia with Biallelic Mutations of CEBPA (Score: 0.9530);Acute Myeloid Leukemia with Mutated RUNX1 (Score: 0.9439);Acute Myeloid Leukemia with Mutated NPM1 (Score: 0.9364);AML1-ETO Fusion Protein Expression (Score: 0.9110)
SPECIFIC DX AT ACQUISITION MDSMPN,Myelodysplastic/Myeloproliferative Neoplasm,0,"Myelodysplastic Syndrome with Multilineage Dysplasia (Score: 0.8754);Myelodysplastic Syndrome with Isolated del(5q) (Score: 0.8743);Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM (Score: 0.8726);Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM (Score: 0.8726);Myelodysplastic Syndrome with del(5q) (Score: 0.8706)"
HCV,Hepatitis C Virus,1,"Hepatitis C Virus (Score: 0.9453);Hepatitis B Virus (Score: 0.9243);Non-B, Non-C Hepatitis (Score: 0.8990);Diabetes Mellitus (Score: 0.8965);Chronic Myelogenous Leukemia (Score: 0.8928)"
CHRONIC MYELOGENOUS LEUKEMIA CML,"Chronic Myelogenous Leukemia, BCR-ABL1 Positive",5,"Chronic Myelogenous Leukemia (Score: 0.9906);Chronic Myelomonocytic Leukemia (Score: 0.9713);Chronic Myelomonocytic Leukemia-1 (Score: 0.9592);Chronic Myelomonocytic Leukemia-2 (Score: 0.9550);Chronic Myelogenous Leukemia, BCR-ABL1 Positive (Score: 0.9441)"
THPD,Poorly Differentiated Thyroid Gland Carcinoma,0,Hemangioma (Score: 0.8955);Thigh (Score: 0.8869);Pituicytoma (Score: 0.8841);Hypertension (Score: 0.8790);Brain (Score: 0.8786)
ASCENDING COLON,Ascending Colon,1,Ascending Colon (Score: 1.0000);Colon (Score: 0.9478);Sigmoid Colon (Score: 0.9456);Descending Colon (Score: 0.9399);Transverse Colon (Score: 0.9282)
MEDULLARY_CARCINOMA,Medullary Carcinoma,1,Medullary Carcinoma (Score: 0.9942);Breast Medullary Carcinoma (Score: 0.9763);Thyroid Gland Medullary Carcinoma (Score: 0.9638);Colon Medullary Carcinoma (Score: 0.9637);Kidney Medullary Carcinoma (Score: 0.9608)
PSEUDOMYOGENIC HEMANGIOENDOTHELIOMA,Pseudomyogenic Hemangioendothelioma,1,Pseudomyogenic Hemangioendothelioma (Score: 1.0000);Epithelioid Hemangioendothelioma (Score: 0.9398);Hemangioma (Score: 0.9098);Hemangioblastoma (Score: 0.8993);Malignant Myoepithelioma (Score: 0.8920)
TYPE ATHYMOMA,Thymoma Type A,1,Thymoma Type A (Score: 0.8805);Thymoma Type AB (Score: 0.8805);Botryoid-Type Embryonal Rhabdomyosarcoma (Score: 0.8794);Thymoma Type B1 (Score: 0.8683);Thymoma Type B2 (Score: 0.8664)
ESOPHAGOGASTRIC CARCINOMA,Gastroesophageal Cancer,2,Esophageal Carcinoma (Score: 0.9694);Gastroesophageal Cancer (Score: 0.9552);Esophageal Adenocarcinoma (Score: 0.9499);Gastric Carcinoma (Score: 0.9473);Esophageal Squamous Cell Carcinoma (Score: 0.9457)
MUCOEPIDERMOID CARCINOMA OF THE LUNG,Lung Mucoepidermoid Carcinoma,1,Lung Mucoepidermoid Carcinoma (Score: 0.9902);Mucoepidermoid Carcinoma (Score: 0.9736);Lung Lymphoepithelial Carcinoma (Score: 0.9464);Lung Mucinous Adenocarcinoma (Score: 0.9390);Lung Carcinoma (Score: 0.9382)
THYMOMA; TYPE B3,Thymoma Type B3,1,Thymoma Type B3 (Score: 0.9939);Thymoma Type B2 (Score: 0.9639);Thymoma Type B1 (Score: 0.9561);Thymoma Type A (Score: 0.9546);Thymoma Type AB (Score: 0.9542)
HIGH-GRADE SEROUS OVARIAN CANCER,Ovarian High Grade Serous Adenocarcinoma,1,Ovarian High Grade Serous Adenocarcinoma (Score: 0.9883);Ovarian Low Grade Serous Adenocarcinoma (Score: 0.9744);Fallopian Tube High Grade Serous Adenocarcinoma (Score: 0.9620);Ovarian Serous Adenocarcinoma (Score: 0.9502);Borderline Ovarian Serous Tumor (Score: 0.9411)
ALL CELLS WERE TAKEN WHEN PATIENT WAS IN RELAPSE,Acute Lymphoblastic Leukemia<;>Recurrent Disease,0,Relapse (Score: 0.8994);First Relapse (Score: 0.8835);B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1 (Score: 0.8800);Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA (Score: 0.8779);Leukemia (Score: 0.8775)
"ANAPLASTIC ASTROCYTOMA, IDH-WILDTYPE","Anaplastic Astrocytoma, IDH-Wildtype",1,"Anaplastic Astrocytoma, IDH-Wildtype (Score: 1.0000);Glioblastoma, IDH-Wildtype (Score: 0.9663);Astrocytoma, IDH-Mutant, Grade 3 (Score: 0.9641);Astrocytoma, IDH-Mutant, Grade 2 (Score: 0.9606);Astrocytoma, IDH-Mutant, Grade 4 (Score: 0.9585)"
BRENNER_TUMOUR,Brenner Tumor,1,Brenner Tumor (Score: 0.9819);Breast Adenocarcinoma (Score: 0.8970);Breast Neoplasm (Score: 0.8954);Uterine Neoplasm (Score: 0.8893);Brain Neoplasm (Score: 0.8893)
NODULAR,Nodular Neoplasm,1,"Nodular Neoplasm (Score: 0.9622);Cutaneous Nodular Melanoma (Score: 0.9432);Ganglioneuroblastoma, Nodular (Score: 0.9173);Desmoplastic/Nodular Medulloblastoma (Score: 0.9116);Neuroblastoma (Score: 0.8768)"
ATRT,Atypical Teratoid/Rhabdoid Tumor,0,Rectum (Score: 0.8937);Anorectal (Score: 0.8829);Thigh (Score: 0.8793);Anastomosis (Score: 0.8771);Rhabdoid Tumor (Score: 0.8767)
EXOCRINE_ADENOSQUAMOUS,Pancreatic Adenosquamous Carcinoma<;>Exocrine Gland,0,Pancreatic Adenosquamous Carcinoma (Score: 0.9476);Adenosquamous Carcinoma (Score: 0.9460);Esophageal Adenosquamous Carcinoma (Score: 0.9346);Endometrial Adenosquamous Carcinoma (Score: 0.9325);Gastric Adenosquamous Carcinoma (Score: 0.9317)
EWING'S SARCOMA,Ewing Sarcoma,1,Ewing Sarcoma (Score: 0.9908);Central Nervous System Ewing Sarcoma (Score: 0.9414);Bone Sarcoma (Score: 0.9368);Sarcoma (Score: 0.9336);Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor (Score: 0.9324)
"BILIARY TRACT CANCER, NOS",Liver and Intrahepatic Bile Duct Carcinoma,3,Gallbladder Carcinoma (Score: 0.9307);Liver and Intrahepatic Bile Duct Neoplasm (Score: 0.9288);Liver and Intrahepatic Bile Duct Carcinoma (Score: 0.9283);Biliary Tract (Score: 0.9229);Extrahepatic Bile Duct Adenocarcinoma (Score: 0.9170)
RELAPSED_AML,Recurrent Acute Myeloid Leukemia,2,Relapse (Score: 0.9295);Recurrent Acute Myeloid Leukemia (Score: 0.9289);Acute Myeloid Leukemia with Mutated RUNX1 (Score: 0.9185);Acute Myeloid Leukemia with Recurrent Genetic Abnormalities (Score: 0.9173);Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9022)
PROSTATE_SMALL_CELL,Prostate Small Cell Neuroendocrine Carcinoma,1,"Prostate Small Cell Neuroendocrine Carcinoma (Score: 0.9510);Small Cell (Score: 0.9384);Small Cell Adenocarcinoma (Score: 0.9295);Malignant Tumor, Small Cell Type (Score: 0.9158);Prostate Squamous Cell Carcinoma (Score: 0.9149)"
ADENOCARCINOMA- MAMMARY GLAND,Breast Adenocarcinoma,1,Breast Adenocarcinoma (Score: 0.9732);Adenocarcinoma (Score: 0.9663);Salivary Gland Adenocarcinoma (Score: 0.9551);Prostate Adenocarcinoma (Score: 0.9502);Lung Adenocarcinoma (Score: 0.9479)
HYPOPHARYNX SQUAMOUS CELL CARCINOMA,Hypopharyngeal Squamous Cell Carcinoma,1,Hypopharyngeal Squamous Cell Carcinoma (Score: 0.9976);Head and Neck Squamous Cell Carcinoma (Score: 0.9728);Pharyngeal Squamous Cell Carcinoma (Score: 0.9623);Oral Cavity Squamous Cell Carcinoma (Score: 0.9619);Salivary Gland Squamous Cell Carcinoma (Score: 0.9599)
SOFT_TISSUE,Soft Tissue,1,Soft Tissue (Score: 0.9826);Soft Tissue Sarcoma (Score: 0.9465);Soft Tissue Neoplasm (Score: 0.9417);Malignant Soft Tissue Neoplasm (Score: 0.9242);Tissue (Score: 0.9132)
COLONIC TYPE ADENOCARCINOMA OF THE APPENDIX,Appendix Adenocarcinoma,1,"Appendix Adenocarcinoma (Score: 0.9473);Appendix Goblet Cell Adenocarcinoma (Score: 0.9463);Gastric Intestinal-Type Adenocarcinoma (Score: 0.9451);Appendix Mucinous Adenocarcinoma (Score: 0.9425);Cervical Mucinous Adenocarcinoma, Intestinal-Type (Score: 0.9418)"
UTERINE SEROUS CARCINOMA,Endometrial Serous Adenocarcinoma,1,Endometrial Serous Adenocarcinoma (Score: 0.9631);Serous Adenocarcinoma (Score: 0.9500);uterine corpus endometrial carcinoma (Score: 0.9491);Ovarian Serous Adenocarcinoma (Score: 0.9488);Endometrial Squamous Cell Carcinoma (Score: 0.9417)
T-ALL,T Acute Lymphoblastic Leukemia,3,T-Lymphocyte (Score: 0.9098);T Lymphoblastic Leukemia/Lymphoma (Score: 0.9072);T Acute Lymphoblastic Leukemia (Score: 0.9003);Adult T-Cell Leukemia/Lymphoma (Score: 0.8991);T-Cell Non-Hodgkin Lymphoma (Score: 0.8970)
MUCINOUS_CARCINOMA,Mucinous Adenocarcinoma,3,Breast Mucinous Carcinoma (Score: 0.9784);Mucinous gastric carcinoma (Score: 0.9723);Mucinous Adenocarcinoma (Score: 0.9721);Mucinous Cystadenocarcinoma (Score: 0.9601);Colon Mucinous Adenocarcinoma (Score: 0.9558)
REGIONAL CUTANEOUS OR SUBCUTANEOUS METASTASIS,Melanoma Involvement of Regional Cutaneous or Subcutaneous Tissue,1,"Melanoma Involvement of Regional Cutaneous or Subcutaneous Tissue (Score: 0.9605);Metastatic Malignant Neoplasm in the Regional Lymph Nodes (Score: 0.9340);Cutaneous Melanoma (Score: 0.9179);Metastatic Malignant Neoplasm in the Lymph Nodes (Score: 0.9178);Recurrent Disease, Distant Site (Score: 0.9169)"
ESCA_MSI,Esophageal Adenocarcinoma<;>Microsatellite Instability,0,Low-CSD Melanoma (Score: 0.8725);Endometrium (Score: 0.8673);Esophageal Melanoma (Score: 0.8643);Supratentorial Ependymoma (Score: 0.8642);Ependymoma (Score: 0.8640)
POLYCYTHAEMIA VERA MYELOFIBROSIS,Polycythemia Vera<;>Myelofibrosis,0,Polycythemia Vera (Score: 0.9526);Myelofibrosis (Score: 0.9458);Primary Myelofibrosis (Score: 0.9278);Myelodysplastic/Myeloproliferative Neoplasm (Score: 0.9247);Myeloproliferative Neoplasm (Score: 0.9204)
GIANT CELL TUMOR OF BONE,Giant Cell Tumor of Bone,1,Giant Cell Tumor of Bone (Score: 1.0000);Giant Cell Tumor (Score: 0.9698);Giant Cell Carcinoma (Score: 0.9444);Giant Cell (Score: 0.9293);Granulosa Cell Tumor (Score: 0.9226)
SMALL INTESTINAL CARCINOMA,Small Intestinal Carcinoma,1,Small Intestinal Carcinoma (Score: 1.0000);Small Intestinal Adenocarcinoma (Score: 0.9774);Small Intestinal Neuroendocrine Neoplasm (Score: 0.9505);Malignant Intestinal Neoplasm (Score: 0.9355);Ovarian Small Cell Carcinoma (Score: 0.9309)
HGS,Ovarian High Grade Serous Adenocarcinoma,0,Glioma (Score: 0.8975);Ovary (Score: 0.8907);Glioblastoma (Score: 0.8844);Salivary Gland (Score: 0.8843);Gastric (Score: 0.8843)
UNDIFFERENTIATED_SARCOMA,undifferentiated sarcoma,1,undifferentiated sarcoma (Score: 0.9917);Undifferentiated Spindle Cell Sarcoma (Score: 0.9691);Undifferentiated Soft Tissue Sarcoma (Score: 0.9687);Undifferentiated Pleomorphic Sarcoma (Score: 0.9560);Undifferentiated Round Cell Sarcoma (Score: 0.9550)
CERVICAL SQUAMOUS CELL,Cervical Squamous Cell Carcinoma,1,Cervical Squamous Cell Carcinoma (Score: 0.9860);Squamous Cell Carcinoma (Score: 0.9655);Cervical Squamous Neoplasm (Score: 0.9568);Vaginal Squamous Cell Carcinoma (Score: 0.9525);Esophageal Squamous Cell Carcinoma (Score: 0.9523)
TESTICULAR MESOTHELIOMA,Testicular mesothelioma,1,Testicular mesothelioma (Score: 1.0000);Mesothelioma (Score: 0.9419);Testicular Seminoma (Score: 0.9299);Pleural Mesothelioma (Score: 0.9296);Peritoneal Mesothelioma (Score: 0.9272)
